"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","x25sl_star","ui_star","str_star","elg_star","rd_star","b_star","mic_star"
88,12,"PLA",16,"Altus, OK(irri)",576,2,124,1.14,0.58,50.9,224,9.3,3.8,1.12,45.8,20.1,6.5,78.1,9.2,3.9
88,12,"PLA",16,"Altus, OK(irri)",577,1,116,1.14,0.57,50,195,9.5,3.4,1.1,46.2,20.6,6.4,80.2,7.9,3.4
88,12,"PLA",16,"Altus, OK(irri)",577,2,119,1.12,0.56,50,208,8.5,3.5,1.13,44,21.2,6.7,73.2,7.2,3.3
88,12,"PLA",16,"Altus, OK(irri)",578,1,113,1.09,0.58,53.2,222,9.8,4.3,1.04,47.3,24.8,7.1,74.7,8.9,4.7
88,12,"PLA",16,"Altus, OK(irri)",578,2,131,1.11,0.58,52.3,229,9.5,4.3,1.07,49.7,25.9,7.7,73.9,7.9,4.4
88,12,"PLA",16,"Altus, OK(irri)",635,1,117,1.08,0.55,50.9,220,8.5,4.7,1.06,48,22.6,6.5,77.4,7.3,4.6
88,12,"PLA",16,"Altus, OK(irri)",635,2,119,1.06,0.57,53.8,226,8.5,4,1.03,47.4,23.7,6.6,72.6,7.8,4.1
88,12,"PLA",16,"Altus, OK(irri)",689,1,117,1.17,0.57,48.7,184,11,4.2,1.12,44.9,21.8,7,75.4,7.5,4.3
88,12,"PLA",16,"Altus, OK(irri)",689,2,121,1.16,0.59,50.9,219,9.8,3.8,1.13,44.3,22.5,7,82.2,8.1,3.9
88,12,"PLA",16,"Altus, OK(irri)",693,1,130,1.12,0.58,51.8,235,8,4.3,1.06,49.6,26.3,6.8,80.5,8.8,4.7
88,12,"PLA",16,"Altus, OK(irri)",693,2,132,1.11,0.59,53.2,240,8,4,1.09,47.9,24.5,6.8,76.7,8.3,4.2
88,12,"PLA",16,"Altus, OK(irri)",748,1,129,1.18,0.58,49.2,235,8,3.8,1.12,45.4,21.8,6.3,80.1,7.9,4
