"breeder","samples","yr","regcode","reg","loccode","loc","vcode","var","rep","length","ui","str","elg","mic_hvi","rd","b","mic_st","e1","t1","x50sl","x25sl","yt"
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1019,"all tex atlas",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","59",0,12,"PLA",38,"Chickasha, OK(dry)",1104,"sg 747",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","60",0,12,"PLA",38,"Chickasha, OK(dry)",1104,"sg 747",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1104,"sg 747",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1104,"sg 747",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1104,"sg 747",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","61",0,12,"PLA",38,"Chickasha, OK(dry)",1131,"all tex excess",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","62",0,12,"PLA",38,"Chickasha, OK(dry)",1131,"all tex excess",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1131,"all tex excess",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1131,"all tex excess",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1131,"all tex excess",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","63",0,12,"PLA",38,"Chickasha, OK(dry)",1132,"dp 2156",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","64",0,12,"PLA",38,"Chickasha, OK(dry)",1132,"dp 2156",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1132,"dp 2156",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1132,"dp 2156",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",0,12,"PLA",38,"Chickasha, OK(dry)",1132,"dp 2156",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","65",0,12,"PLA",38,"Chickasha, OK(dry)",1133,"pm 330",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
