"breeder","sample","yr","regcode","reg","loccode","loc","vcode","var","rep","length","ui","str","elg","mic_hvi","rd","b","mic_st","e1","t1","x21","x50sl","yt"
"34","8",3,12,"PLA",16,"Altus, TX(irri)",1196,"stv 4892br",2,1.1,83.5,29,8.7,4.8,72,8.7,"5.7","7.5","20.8","20.399999999999999","0.53","120"
"34","9",3,12,"PLA",16,"Altus, TX(irri)",1212,"all tex atlas rr",1,1.1,82.8,35,9.2,4.8,72,7.9,"5.2","8.8000000000000007","22.4","21.9","0.53","127"
"34","10",3,12,"PLA",16,"Altus, TX(irri)",1212,"all tex atlas rr",2,1.1,82.9,33,8.7,5,70,7.4,"5","7.5","23.1","22.55","0.53","137"
"34","13",3,12,"PLA",16,"Altus, TX(irri)",1213,"fm 5013",1,1.1,83.9,32,8.7,4.8,69,7.1,"5.0999999999999996","8.5","23.5","23","0.54","123"
"34","14",3,12,"PLA",16,"Altus, TX(irri)",1213,"fm 5013",2,1.1,82.7,32,8.5,4.8,71,7.5,"5.3","9.5","21.1","20.65","0.54","122"
"34","15",3,12,"PLA",16,"Altus, TX(irri)",1214,"pm 2167rr",1,1,83.3,33,8.9,4.9,72,8.1,"4.5999999999999996","7.8","19.3","18.850000000000001","0.53","129"
"34","16",3,12,"PLA",16,"Altus, TX(irri)",1214,"pm 2167rr",2,1,82.1,32,8.7,4.8,71,8.2,"4.7","8","19.7","19.3","0.53","129"
"34","17",3,12,"PLA",16,"Altus, TX(irri)",1215,"pm 2266rr",1,1.1,83.3,33,9.2,4.6,70,7.8,"4.7","8","22.4","22","0.55000000000000004","137"
"34","18",3,12,"PLA",16,"Altus, TX(irri)",1215,"pm 2266rr",2,1.1,83.1,35,9.2,4.8,69,7.1,"4.9000000000000004","8.3000000000000007","24.6","24.1","0.56000000000000005","129"
"34","21",3,12,"PLA",16,"Altus, TX(irri)",1216,"stv 2454rr",1,1.1,83.7,31,8.7,5.1,72,7.3,"4.7","7.5","20.399999999999999","19.95","0.54","128"
"34","22",3,12,"PLA",16,"Altus, TX(irri)",1216,"stv 2454rr",2,1.1,84,31,8.7,5.1,69,7.3,"4.5","8.5","22","21.55","0.53","125"
"34","25",3,12,"PLA",16,"Altus, TX(irri)",1217,"tamcot kuxor",1,1.1,82.5,31,8.3,4.9,69,6.6,"4.5999999999999996","8","22.4","21.95","0.56000000000000005","133"
"34","26",3,12,"PLA",16,"Altus, TX(irri)",1217,"tamcot kuxor",2,1.1,83,30,8.3,4.6,69,7,"4.5","8.3000000000000007","22.8","22.35","0.56000000000000005","128"
"34","75",3,12,"PLA",38,"Chickasha, OK(dry)",971,"stv 474",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","76",3,12,"PLA",38,"Chickasha, OK(dry)",971,"stv 474",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",971,"stv 474",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",971,"stv 474",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",971,"stv 474",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","55",3,12,"PLA",38,"Chickasha, OK(dry)",1019,"all tex atlas",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","56",3,12,"PLA",38,"Chickasha, OK(dry)",1019,"all tex atlas",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1019,"all tex atlas",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1019,"all tex atlas",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1019,"all tex atlas",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","53",3,12,"PLA",38,"Chickasha, OK(dry)",1128,"acala 1517-99",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","54",3,12,"PLA",38,"Chickasha, OK(dry)",1128,"acala 1517-99",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1128,"acala 1517-99",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1128,"acala 1517-99",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1128,"acala 1517-99",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","71",3,12,"PLA",38,"Chickasha, OK(dry)",1135,"pm 2326rr",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","72",3,12,"PLA",38,"Chickasha, OK(dry)",1135,"pm 2326rr",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1135,"pm 2326rr",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1135,"pm 2326rr",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1135,"pm 2326rr",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","57",3,12,"PLA",38,"Chickasha, OK(dry)",1152,"dpl 458br",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","58",3,12,"PLA",38,"Chickasha, OK(dry)",1152,"dpl 458br",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1152,"dpl 458br",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1152,"dpl 458br",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1152,"dpl 458br",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","63",3,12,"PLA",38,"Chickasha, OK(dry)",1169,"fm 958",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","64",3,12,"PLA",38,"Chickasha, OK(dry)",1169,"fm 958",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1169,"fm 958",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1169,"fm 958",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",".",3,12,"PLA",38,"Chickasha, OK(dry)",1169,"fm 958",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","59",3,12,"PLA",38,"Chickasha, OK(dry)",1196,"stv 4892br",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","60",3,12,"PLA",38,"Chickasha, OK(dry)",1196,"stv 4892br",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
