"sample","test","regcode","location","loccode","varcode","rep","mic","uhm","ui","str","elo","rd","b","cgrd","area_percent","sfc_percent","trash_cnt","leaf_code","maturity"
"58004","EAST","020","FLORENCE","036","1516","2",4.87,1.18,84.7,30.4,8.65495495495496,68.1,6.95,"51-2",2.72,7.6,182,8,0.86
"58007","EAST","020","FLORENCE","036","1569","1",4.75,1.13,85.6,30.6,9,69.25,8.45,"52-1",2.26,7.4,155,8,0.85
"58008","EAST","020","FLORENCE","036","1569","2",4.41,1.15,84.9,30.15,9.51756756756757,66.8,6.85,"51-2",2.56,7.1,191,8,0.84
"58011","EAST","020","FLORENCE","036","1575","1",4.75,1.17,83.6,31.5,7.96486486486487,70.4,7.15,"51-1",2.65,7.3,157,8,0.86
"58012","EAST","020","FLORENCE","036","1575","2",4.42,1.22,82.4,30.05,8.30990990990991,67.05,7.15,"51-2",4.35,7.7,192,8,0.85
"58017","EAST","020","FLORENCE","036","1578","1",4.76,1.14,83.9,31.1,7.10225225225225,68.3,7.1,"51-2",3.3,7.5,162,8,0.86
"58018","EAST","020","FLORENCE","036","1578","2",4.78,1.09,82.9,29.8,7.4472972972973,70.55,6.5,"51-1",1.9,8.9,112,7.5,0.86
"58005","EAST","020","FLORENCE","036","1589","1",5.02,1.18,86.4,32.6,7.96486486486487,62.25,7.8,"62-1",4.24,6.6,261,8,0.86
"58006","EAST","020","FLORENCE","036","1589","2",4.46,1.19,85,30.8,8.13738738738739,67.75,7.05,"51-2",2.8,7.5,182,8,0.85
"58019","EAST","020","FLORENCE","036","1593","1",4.72,1.12,84.7,32.8,8.82747747747748,68.25,7.85,"51-3",1.99,6.9,142,8,0.86
"58020","EAST","020","FLORENCE","036","1593","2",4.55,1.15,84.5,32.15,8.82747747747748,67.8,7.25,"51-2",2.69,7.1,151,8,0.85
"58009","EAST","020","FLORENCE","036","1594","1",4.12,1.17,84.1,32.65,9.34504504504505,71.35,7.45,"51-1",1.45,8,109,7,0.84
"58010","EAST","020","FLORENCE","036","1594","2",4.37,1.17,84.8,33.3,9.51756756756757,67.2,6.9,"51-2",3.07,6.8,141,8,0.84
"58013","EAST","020","FLORENCE","036","1595","1",4.64,1.19,86.3,32.1,8.65495495495496,68,6.25,"51-2",3.69,6.8,196,8,0.85
"58014","EAST","020","FLORENCE","036","1595","2",4.68,1.21,86.3,29.4,8.48243243243243,67.65,6.35,"51-2",3.34,7.3,208,8,0.85
"58015","EAST","020","FLORENCE","036","1596","1",4.44,1.14,83.9,29.8,9,73.85,7.1,"41-2",2.08,8.4,101,7,0.85
"58016","EAST","020","FLORENCE","036","1596","2",4.51,1.18,83.9,30.9,8.30990990990991,69.05,7.2,"51-1",2.37,7.5,146,7.5,0.85
"61001","EAST","020","ROCKY MT","037","1404","1",5.24,1.14,86.1,33.15,8.30990990990991,77.45,8.05,"31-2",0.47,6.8,29,3.5,0.87
"61002","EAST","020","ROCKY MT","037","1404","2",4.96,1.12,86.2,32.15,8.48243243243243,77.9,8.5,"31-1",0.24,6.2,25,2.5,0.86
"61003","EAST","020","ROCKY MT","037","1516","1",4.95,1.21,83.7,30.35,7.79234234234234,83.2,7.5,"21-1",0.25,7.5,16,2.5,0.86
"61004","EAST","020","ROCKY MT","037","1516","2",4.62,1.24,86.2,30.05,8.65495495495496,82.95,7.65,"21-1",0.2,6.7,15,2,0.85
"61007","EAST","020","ROCKY MT","037","1569","1",4.48,1.09,84.4,30.9,8.82747747747748,77.5,7.75,"31-2",0.41,7.2,21,3,0.85
"61008","EAST","020","ROCKY MT","037","1569","2",4.75,1.12,84.7,32.7,8.13738738738739,80.4,8.25,"21-2",0.37,7.9,25,3,0.86
"61011","EAST","020","ROCKY MT","037","1575","1",4.98,1.17,85.3,31.4,7.27477477477477,80.5,7.6,"21-2",0.4,7.2,31,3,0.87
"61012","EAST","020","ROCKY MT","037","1575","2",4.76,1.21,83.8,35.55,7.10225225225225,82.85,7.7,"21-1",0.27,7.7,24,2.5,0.87
"61017","EAST","020","ROCKY MT","037","1578","1",4.91,1.12,84,32,6.58468468468469,82.1,7.6,"21-1",0.27,7.6,12,2.5,0.87
"61018","EAST","020","ROCKY MT","037","1578","2",4.99,1.09,82.5,32.6,6.41216216216216,79.45,7.45,"31-1",0.49,9.5,21,4,0.87
"61005","EAST","020","ROCKY MT","037","1589","1",5.07,1.16,85.4,33,7.27477477477477,81.5,7.85,"21-1",0.37,7.9,27,3,0.87
"61006","EAST","020","ROCKY MT","037","1589","2",5.37,1.19,86.9,34.4,6.92972972972973,80.6,7.45,"31-1",0.15,6.3,17,1.5,0.88
"61019","EAST","020","ROCKY MT","037","1593","1",4.81,1.15,84.3,33.2,7.61981981981982,78.9,7.45,"31-1",0.19,7.7,21,1.5,0.86
"61020","EAST","020","ROCKY MT","037","1593","2",4.98,1.12,84.6,32.15,7.61981981981982,78.85,7.75,"31-1",0.59,6.9,28,4,0.87
"61009","EAST","020","ROCKY MT","037","1594","1",4.8,1.19,84.9,35.75,8.30990990990991,80.3,7.3,"31-1",0.31,7.1,14,2.5,0.86
"61010","EAST","020","ROCKY MT","037","1594","2",5.29,1.2,86,34.75,8.65495495495496,81.35,8.2,"21-1",0.22,6.8,26,2,0.87
"61013","EAST","020","ROCKY MT","037","1595","1",4.63,1.17,85.1,28.65,8.30990990990991,81.6,6.45,"31-1",0.23,7.2,18,2,0.85
"61014","EAST","020","ROCKY MT","037","1595","2",4.72,1.2,85.2,31.45,7.96486486486487,81,6.35,"31-2",0.73,7.2,24,5,0.86
"61015","EAST","020","ROCKY MT","037","1596","1",5.24,1.2,85.1,33.45,7.27477477477477,81.55,7.8,"21-1",0.15,7.5,9,1.5,0.87
"61016","EAST","020","ROCKY MT","037","1596","2",4.77,1.2,84.2,31.35,7.61981981981982,81.45,7.25,"31-1",0.15,7.9,16,1,0.86
"12001","East","020","Starkville","067","1404","1",5.05,1.17,86.7,34.95,7.96486486486487,73.95,8.05,"41-1",0.22,6.9,21,2,0.87
"12002","East","020","Starkville","067","1404","2",5.34,1.17,86.8,34.85,8.30990990990991,72.75,6.95,"51-1",0.34,6.1,26,3,0.87
"12003","East","020","Starkville","067","1516","1",5,1.22,85.2,29.2,7.79234234234234,76.5,6.35,"41-1",0.45,7.3,35,4,0.86
"12004","East","020","Starkville","067","1516","2",5.01,1.29,86.1,29.3,7.79234234234234,75.4,6.9,"41-2",0.51,6.1,29,3.5,0.86
"12007","East","020","Starkville","067","1569","1",4.98,1.17,86,31.45,8.82747747747748,73.7,7.2,"41-2",0.42,6.8,41,3,0.86
"12008","East","020","Starkville","067","1569","2",4.77,1.17,86.2,31.75,8.48243243243243,73.45,7.7,"41-2",0.66,7,19,4.5,0.86
"12011","East","020","Starkville","067","1575","1",5,1.21,86.9,31.05,7.27477477477477,76.1,7.3,"41-1",0.52,6.3,39,4,0.87
"12012","East","020","Starkville","067","1575","2",4.76,1.2,85,33.85,6.41216216216216,75.45,7.55,"41-1",0.24,7.7,25,2,0.87
"12017","East","020","Starkville","067","1578","1",4.89,1.21,86.4,33.7,6.41216216216216,76,6.6,"41-2",0.21,6.1,17,2,0.87
"12018","East","020","Starkville","067","1578","2",4.65,1.21,85.5,35.25,6.41216216216216,76.65,6.7,"41-1",0.35,6.7,32,3,0.86
"12005","East","020","Starkville","067","1589","1",5.02,1.18,85.7,32.7,7.10225225225225,73.65,6.95,"41-2",0.32,6.9,14,3,0.87
"12006","East","020","Starkville","067","1589","2",4.93,1.2,86.6,33.9,7.10225225225225,74.35,6.95,"41-2",0.43,5.9,38,3.5,0.87
"12019","East","020","Starkville","067","1593","1",5.05,1.2,84.9,34.8,7.4472972972973,74.15,8.3,"41-1",0.32,6.4,30,3,0.87
"12020","East","020","Starkville","067","1593","2",5.11,1.17,86.7,34.65,7.10225225225225,74.45,7.7,"41-1",0.16,6.4,19,1.5,0.87
"12009","East","020","Starkville","067","1594","1",5.2,1.17,84.4,32.8,7.61981981981982,74.75,7.85,"41-1",0.45,7.8,30,3.5,0.87
"12010","East","020","Starkville","067","1594","2",5.17,1.19,85,33.75,7.96486486486487,70.75,7.35,"51-1",0.82,7.4,56,5.5,0.87
"12013","East","020","Starkville","067","1595","1",4.95,1.2,84.1,31.6,7.27477477477477,76.9,6.85,"41-1",0.28,7.5,27,2.5,0.87
"12014","East","020","Starkville","067","1595","2",4.75,1.19,85.7,31.5,7.4472972972973,73.55,5.65,"51-1",0.46,7.2,27,3.5,0.86
"12015","East","020","Starkville","067","1596","1",4.6,1.2,83.2,32.4,6.75720720720721,75.85,6.8,"41-1",0.68,8.3,43,5,0.86
"12016","East","020","Starkville","067","1596","2",4.57,1.2,84.9,34.6,6.58468468468469,75.2,6.85,"41-2",0.61,6.7,21,3.5,0.86
"26001","Central","030","COLL STA-1","019","1404","1",5.14,1.17,84.7,33.1,7.96486486486487,75.05,7.55,"41-1",1,7.3,61,6,0.87
"26002","Central","030","COLL STA-1","019","1404","2",5.33,1.14,87.1,34.25,7.79234234234234,74.7,7.2,"41-1",1.05,6.3,65,6,0.87
"26011","Central","030","COLL STA-1","019","1497","1",4.93,1.19,86.2,31.65,6.58468468468469,75.55,6.75,"41-1",1.09,6.8,66,6.5,0.87
"26012","Central","030","COLL STA-1","019","1497","2",4.94,1.17,84,30.9,6.58468468468469,75.45,6.55,"41-2",0.91,7.1,44,5.5,0.87
"26013","Central","030","COLL STA-1","019","1503","1",4.7,1.22,84.3,32.85,5.20450450450451,78.5,5.95,"41-1",0.48,7.4,35,3.5,0.87
"26014","Central","030","COLL STA-1","019","1503","2",4.89,1.22,85.9,34.15,5.37702702702703,79.25,6.45,"41-1",0.53,6.4,37,4,0.87
"26003","Central","030","COLL STA-1","019","1516","1",4.64,1.32,85.5,30.05,7.61981981981982,78.2,6.8,"41-1",0.28,5.6,25,2.5,0.86
"26004","Central","030","COLL STA-1","019","1516","2",4.92,1.24,84.9,30.85,7.4472972972973,75.95,6.65,"41-2",1.14,6.9,83,6.5,0.86
"26005","Central","030","COLL STA-1","019","1535","1",4.93,1.17,84.6,32.15,5.72207207207207,76.9,7.85,"31-2",0.33,6.8,22,3,0.87
"26006","Central","030","COLL STA-1","019","1535","2",5.05,1.14,84,31.25,5.03198198198198,76.5,7.2,"41-1",0.53,7,33,4,0.88
"26007","Central","030","COLL STA-1","019","1536","1",4.36,1.21,84.3,39.95,6.06711711711712,75.15,7.6,"41-1",0.89,7.2,60,6,0.86
"26008","Central","030","COLL STA-1","019","1536","2",4.24,1.23,85.2,36.3,6.58468468468469,75.9,7.45,"41-1",1.1,6.9,74,6,0.85
"26009","Central","030","COLL STA-1","019","1537","1",5.08,1.2,85.2,32.1,7.96486486486487,75.3,7.35,"41-1",0.72,6.6,55,5,0.87
"26010","Central","030","COLL STA-1","019","1537","2",5.16,1.16,84.4,32.15,8.30990990990991,75.7,6.85,"41-1",0.91,7.4,72,5.5,0.87
"26015","Central","030","COLL STA-1","019","1551","1",5.03,1.16,85.3,27.95,8.65495495495496,75.15,7.1,"41-1",0.72,6.8,38,5,0.86
"26016","Central","030","COLL STA-1","019","1551","2",5.05,1.21,86.8,28.55,9,77.15,7.2,"41-1",0.86,6.2,48,5.5,0.86
"26017","Central","030","COLL STA-1","019","1552","1",5.23,1.2,86.7,33.5,6.58468468468469,75.5,7.15,"41-1",0.92,6.5,35,5.5,0.88
"26018","Central","030","COLL STA-1","019","1552","2",5.26,1.16,84.3,34.9,6.58468468468469,76.15,7,"41-1",0.93,7.7,50,6,0.88
"26019","Central","030","WESLACO","021","1404","1",4.94,1.21,87.7,34.95,7.10225225225225,76.45,9.2,"31-3",0.71,5.9,60,4.5,0.87
"26020","Central","030","WESLACO","021","1404","2",5,1.17,86.3,34.6,7.79234234234234,75.3,9.95,"32-1",0.92,6.4,67,5.5,0.87
"26029","Central","030","WESLACO","021","1497","1",4.54,1.23,85.9,32.25,6.58468468468469,75.9,8.5,"31-2",1.81,6.7,77,7.5,0.86
"26030","Central","030","WESLACO","021","1497","2",4.52,1.25,86.7,33.9,6.41216216216216,75.8,10,"22-2",0.96,6.3,75,6,0.86
"26031","Central","030","WESLACO","021","1503","1",4.69,1.25,85,35.5,5.20450450450451,79.4,8.85,"21-2",0.82,6.9,56,5.5,0.87
"26032","Central","030","WESLACO","021","1503","2",4.54,1.27,86.6,34.8,5.37702702702703,78.85,9.15,"21-1",0.85,5.9,54,5.5,0.87
"26021","Central","030","WESLACO","021","1516","1",4.53,1.3,85.6,30.5,7.61981981981982,78.75,9.55,"21-3",1.15,5.8,62,6.5,0.85
"26022","Central","030","WESLACO","021","1516","2",4.7,1.31,85.7,30.5,7.96486486486487,77.55,9.8,"21-3",0.77,5.7,61,5,0.86
"26023","Central","030","WESLACO","021","1535","1",4.81,1.21,84.4,33.55,5.03198198198198,75.2,9.6,"32-1",0.9,7.2,57,5.5,0.87
"26024","Central","030","WESLACO","021","1535","2",4.97,1.18,84.8,33,5.37702702702703,76.45,10.15,"22-1",0.84,7,61,5.5,0.88
"26025","Central","030","WESLACO","021","1536","1",4.38,1.25,86.2,38.25,6.06711711711712,74.6,9,"31-4",1.71,6.7,87,7.5,0.86
"26026","Central","030","WESLACO","021","1536","2",4.33,1.25,87,38.7,6.06711711711712,74.6,9.45,"32-1",0.95,6,80,5.5,0.86
"26027","Central","030","WESLACO","021","1537","1",5.01,1.21,85.1,33.35,8.65495495495496,76,9.95,"22-2",0.95,6.7,70,5.5,0.86
"26028","Central","030","WESLACO","021","1537","2",4.9,1.21,85.8,33.25,7.61981981981982,77.15,9.05,"31-3",0.83,6.1,58,5.5,0.86
"26033","Central","030","WESLACO","021","1551","1",4.68,1.19,85.8,30,8.30990990990991,76.05,10.3,"22-1",0.91,6.5,54,5.5,0.86
"26034","Central","030","WESLACO","021","1551","2",4.82,1.22,87.3,31.7,8.30990990990991,77.2,9.75,"22-1",0.81,5.8,51,5,0.86
"26035","Central","030","WESLACO","021","1552","1",4.99,1.22,86.4,34.65,6.41216216216216,79.55,10.1,"11-3",0.77,6.1,39,4.5,0.87
"26036","Central","030","WESLACO","021","1552","2",5.26,1.19,85.7,34.1,6.75720720720721,77.4,10.3,"22-1",0.73,7.2,36,5,0.88
"26037","CENTRAL","030","C CHRISTI-D","195","1404","1",4.88,1.15,86.8,36.25,7.79234234234234,75.7,9.35,"31-3",1.07,6.9,78,6.5,0.86
"26038","CENTRAL","030","C CHRISTI-D","195","1404","2",5.1,1.14,85.9,36.45,7.79234234234234,76.7,9.9,"22-1",0.8,6.1,44,5,0.87
"26047","CENTRAL","030","C CHRISTI-D","195","1497","1",4.53,1.23,86.9,33.3,6.58468468468469,74.25,7.8,"41-1",1.51,6.1,98,7.5,0.86
"26048","CENTRAL","030","C CHRISTI-D","195","1497","2",4.6,1.22,87.1,33.15,6.58468468468469,77.15,8.7,"31-1",1.37,6.2,66,7,0.86
"26049","CENTRAL","030","C CHRISTI-D","195","1503","1",4.97,1.23,86.2,34.45,4.85945945945946,78,8,"31-1",0.77,6.7,60,5,0.88
"26050","CENTRAL","030","C CHRISTI-D","195","1503","2",4.87,1.19,84.5,33.25,5.37702702702703,76.9,8.35,"31-2",0.88,7.7,62,5.5,0.87
"26039","CENTRAL","030","C CHRISTI-D","195","1516","1",4.85,1.26,85.1,31.3,7.10225225225225,77.35,9.2,"31-3",1.01,7,45,6,0.86
"26040","CENTRAL","030","C CHRISTI-D","195","1516","2",4.74,1.27,85.6,31.6,7.10225225225225,77.25,9.25,"21-4",1.29,6.4,58,6.5,0.86
"26041","CENTRAL","030","C CHRISTI-D","195","1535","1",4.52,1.16,84.3,33.85,4.85945945945946,77.35,9.45,"21-4",0.67,7.4,53,5,0.87
"26042","CENTRAL","030","C CHRISTI-D","195","1535","2",4.91,1.17,84.4,33.6,4.85945945945946,77.55,9.3,"21-4",0.46,7.4,31,3.5,0.88
"26043","CENTRAL","030","C CHRISTI-D","195","1536","1",4.53,1.21,86.8,39.15,6.06711711711712,74.85,9.2,"31-3",0.95,6.3,78,6,0.86
