"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","uhm_mot","ui_mot","str_mpt","rd_mot","b_mot","mic_mot"
"85",12,"PLA",16,"Altus, OK(irri)","695",2,149,1.02,0.49,47,21.5,5,4.4,1.05,82,26,79,9.6,4.2
"85",12,"PLA",38,"Chickasha, OK(dry)","80",1,138,1.05,0.54,51,19.9,5.6,4,1.05,83,24,66.5,8.6,4.7
"85",12,"PLA",38,"Chickasha, OK(dry)","80",2,135,1.01,0.5,48,18.9,5.3,4.8,1.05,84,26,68.5,9,4.5
"85",12,"PLA",38,"Chickasha, OK(dry)","400",1,130,1.05,0.5,47,20.7,5.8,5,1.06,82,28,68,9,4
"85",12,"PLA",38,"Chickasha, OK(dry)","400",2,136,1.07,0.54,49,19.7,5.5,4.5,1.09,83,29,66.5,9.6,4.4
"85",12,"PLA",38,"Chickasha, OK(dry)","566",1,140,1.01,0.48,46,21.3,5.2,4.3,1.04,81,31,68.5,9.2,3.2
"85",12,"PLA",38,"Chickasha, OK(dry)","566",2,138,1.03,0.53,50,20.6,5.5,4,1.03,81,29,68,9.4,3.8
"85",12,"PLA",38,"Chickasha, OK(dry)","574",1,137,1.08,0.51,46,19.6,5.6,3.8,1.11,80,27,69.5,8.2,3.8
"85",12,"PLA",38,"Chickasha, OK(dry)","574",2,141,1.13,0.55,48,20.7,5.8,4.4,1.15,82,27,73,8.2,4.4
"85",12,"PLA",38,"Chickasha, OK(dry)","634",1,156,1.09,0.55,49,20.9,5.2,4.2,1.08,81,31,67.5,8.8,4.3
"85",12,"PLA",38,"Chickasha, OK(dry)","634",2,142,1.13,0.54,47,22,5.2,4.4,1.12,82,26,71.5,9.2,3.6
"85",12,"PLA",38,"Chickasha, OK(dry)","635",1,150,1.1,0.53,48,21.2,5.5,4.5,1.12,83,27,65,9.2,4.3
"85",12,"PLA",38,"Chickasha, OK(dry)","635",2,155,1.14,0.54,47,21.8,5.1,4.3,1.15,81,29,65.5,7.8,3.6
"85",12,"PLA",38,"Chickasha, OK(dry)","636",1,139,1.08,0.52,47,19.9,5.3,3.7,1.1,80,27,70,9.4,3.7
"85",12,"PLA",38,"Chickasha, OK(dry)","636",2,146,1.08,0.51,46,19.9,5.1,4.2,1.16,81,29,71,8.6,4
"85",12,"PLA",38,"Chickasha, OK(dry)","679",1,187,1.15,0.6,52,26.3,5.3,4.2,1.11,84,36,72.5,8.4,4
"85",12,"PLA",38,"Chickasha, OK(dry)","679",2,184,1.12,0.55,48,24.6,5.7,4.5,1.17,83,32,72,7.6,4
"85",12,"PLA",38,"Chickasha, OK(dry)","693",1,159,1.05,0.54,50,23.3,5.5,5,1.05,85,30,67.5,9.2,4.5
"85",12,"PLA",38,"Chickasha, OK(dry)","693",2,153,1.08,0.54,49,22.6,5.4,4.4,1.04,83,32,70,9.4,4.2
"85",12,"PLA",38,"Chickasha, OK(dry)","694",1,150,1.08,0.53,48,22.9,5.6,3.6,1.12,79,29,70,8.2,3.9
"85",12,"PLA",38,"Chickasha, OK(dry)","694",2,153,1.13,0.54,47,20.9,5.1,4,1.16,82,27,65.5,9,3.7
"85",12,"PLA",38,"Chickasha, OK(dry)","695",1,140,1.04,0.53,50,22.6,5.3,4.2,1.05,83,33,67.5,9.4,4
"85",12,"PLA",38,"Chickasha, OK(dry)","695",2,135,1.03,0.51,49,21.3,5.1,4.1,1.04,81,30,69,8.4,3.5
"85",20,"EAS",30,"Jackson, TN","80",1,136,1.18,0.56,48,19.4,6.4,4.7,1.19,84,25,78.5,8.8,4.6
"85",20,"EAS",30,"Jackson, TN","80",2,131,1.18,0.56,47,19.7,5.8,4.7,1.18,83,25,76.5,9.2,4.7
"85",20,"EAS",30,"Jackson, TN","450",1,158,1.18,0.58,49,21.2,5.2,4.4,1.19,83,30,78.5,8.6,4.5
"85",20,"EAS",30,"Jackson, TN","450",2,140,1.17,0.52,44,20.9,6,4.3,1.18,82,28,81,9,4.1
"85",20,"EAS",30,"Jackson, TN","513",1,145,1.18,0.59,50,20.2,6,4.5,1.19,85,29,77.5,8.4,4.3
"85",20,"EAS",30,"Jackson, TN","513",2,147,1.2,0.58,48,21.4,5.6,4.6,1.21,84,28,78,8.8,4.8
"85",20,"EAS",30,"Jackson, TN","570",1,164,1.22,0.59,48,22,6,4.2,1.28,84,31,79.5,8.8,4.3
"85",20,"EAS",30,"Jackson, TN","570",2,161,1.25,0.62,49,21.7,5.9,4,1.26,82,28,77.5,8.6,3.8
"85",20,"EAS",30,"Jackson, TN","574",1,142,1.19,0.59,49,20,5.1,4.5,1.18,83,28,77.5,8.8,4.4
"85",20,"EAS",30,"Jackson, TN","574",2,147,1.17,0.56,47,20.7,5.2,4.5,1.19,83,28,77,8.6,4.4
"85",20,"EAS",30,"Jackson, TN","575",1,143,1.2,0.59,49,19.5,5.1,4.7,1.23,86,26,81,9,4.7
