"breeder","yr","reg","regcode","loc","loccode","var","varcode","rep","remarks","mic","mat","uhm","ui","sfc","str","elo","rd","hunterb","card_loss","yt"
"91-014","18","PLAINS","012","ALTUS-I","016","PHY 300W3FE","1534","2","""",3.81,0.84,1.11,81.8,10,29.55,8.5,74.8,8.25,NA,NA
"91-005","18","PLAINS","012","ALTUS-I","016","NG 4545B2XF*","1535","1","""",3.71,0.84,1.22,83.7,8,32.9,7.5,74.65,8,NA,NA
"91-006","18","PLAINS","012","ALTUS-I","016","NG 4545B2XF*","1535","2","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91-007","18","PLAINS","012","ALTUS-I","016","PHY 764WRF*","1536","1","""",3.45,0.83,1.23,84.3,7.1,36.65,8.8,70.6,8.3,NA,NA
"91-008","18","PLAINS","012","ALTUS-I","016","PHY 764WRF*","1536","2","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91-015","18","PLAINS","012","TIPTON-D","191","PHY 499WRF*","1404","1","NATL STD",4.66,0.86,1.1,83,8.1,32.45,8.4,61.65,6.75,NA,NA
"91-016","18","PLAINS","012","TIPTON-D","191","PHY 499WRF*","1404","2","""",4.66,0.85,1.13,84.1,8,32.2,8.9,62.5,7.25,NA,NA
"91-017","18","PLAINS","012","TIPTON-D","191","DP 1646B2XF*","1516","1","""",4.88,0.86,1.19,81.2,9.3,30.45,8.5,64.55,7.1,NA,NA
"91-018","18","PLAINS","012","TIPTON-D","191","DP 1646B2XF*","1516","2","""",4.87,0.87,1.17,81.6,8.4,30.95,8.2,63.05,6.3,NA,NA
"91-023","18","PLAINS","012","TIPTON-D","191","FM 1911GLT","1519","1","REGL STD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91-024","18","PLAINS","012","TIPTON-D","191","FM 1911GLT","1519","2","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91-025","18","PLAINS","012","TIPTON-D","191","DP 1612B2XF","1533","1","""",4.06,0.84,1.22,82,7.7,31.7,8.9,61.85,8.15,NA,NA
"91-026","18","PLAINS","012","TIPTON-D","191","DP 1612B2XF","1533","2","""",4.68,0.86,1.11,81.4,9.8,30.15,8.7,56.75,7.45,NA,NA
"91-027","18","PLAINS","012","TIPTON-D","191","PHY 300W3FE","1534","1","""",3.96,0.85,1.15,82.7,8.2,32.2,7.8,67.6,6.15,NA,NA
"91-028","18","PLAINS","012","TIPTON-D","191","PHY 300W3FE","1534","2","""",4.12,0.85,1.07,80.8,10.3,29.2,7.9,64.45,7,NA,NA
"91-019","18","PLAINS","012","TIPTON-D","191","NG 4545B2XF*","1535","1","""",4.58,0.86,1.14,82.1,8.3,31.85,7,67,9.5,NA,NA
"91-020","18","PLAINS","012","TIPTON-D","191","NG 4545B2XF*","1535","2","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91-021","18","PLAINS","012","TIPTON-D","191","PHY 764WRF*","1536","1","""",4.56,0.86,1.13,83.4,8.2,34.5,7.8,61.15,6.55,NA,NA
"91-022","18","PLAINS","012","TIPTON-D","191","PHY 764WRF*","1536","2","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58-001","18","EAST","020","FLORENCE","036","PHY 499WRF*","1404","1","NATL STD",3.78,0.83,1.15,83.9,8.5,30.7,8.9,61.05,8,"11.62276975361088",68.1801906925537
"58-002","18","EAST","020","FLORENCE","036","PHY 499WRF*","1404","2","""",4.16,0.84,1.18,85,8,30.75,8.4,58.6,8.65,"12.571428571428566",79.5027680471561
"58-011","18","EAST","020","FLORENCE","036","DP 1538B2XF","1510","1","""",3.94,0.83,1.13,83.8,8.4,27.85,9,60.1,8.3,NA,NA
"58-012","18","EAST","020","FLORENCE","036","DP 1538B2XF","1510","2","""",4.08,0.84,1.16,85.5,7.3,28.2,8.9,61,8,NA,NA
"58-003","18","EAST","020","FLORENCE","036","DP 1646B2XF*","1516","1","""",4.11,0.84,1.24,83.6,8,28.2,9.2,60,7.65,"11.616161616161614",56.9506687320453
"58-004","18","EAST","020","FLORENCE","036","DP 1646B2XF*","1516","2","""",3.96,0.84,1.27,85.1,7.6,29.7,8.6,58.7,7.75,"14.989003552698357",54.9648322942063
"58-005","18","EAST","020","FLORENCE","036","NG 4545B2XF*","1535","1","""",4.34,0.86,1.19,84.5,7.7,31.95,7.2,58.95,8.7,"13.78604333731445",65.5518767804279
"58-006","18","EAST","020","FLORENCE","036","NG 4545B2XF*","1535","2","""",4.09,0.85,1.2,84.9,7.9,32.8,7,62.8,8.25,"8.9005235602094288",61.3784782411605
"58-007","18","EAST","020","FLORENCE","036","PHY 764WRF*","1536","1","""",3.85,0.84,1.22,85.3,7.3,33.55,8.3,59.15,8.3,"14.695945945945951",88.5965766830615
"58-008","18","EAST","020","FLORENCE","036","PHY 764WRF*","1536","2","""",3.57,0.84,1.18,84.5,8.2,34.85,7.5,60.2,8.2,"15.865221808330517",71.1311840062263
"58-009","18","EAST","020","FLORENCE","036","PHY 430W3FE","1574","1","REGL STD",3.56,0.83,1.12,81.9,9.6,29.5,8.5,60,9.6,NA,NA
"58-010","18","EAST","020","FLORENCE","036","PHY 430W3FE","1574","2","""",3.31,0.82,1.16,85.4,8.3,31.25,8.3,59.1,9.1,NA,NA
"58-013","18","EAST","020","FLORENCE","036","DP 1840B3XF","1575","1","""",4.02,0.84,1.24,84.9,7.6,30.85,8.1,61.3,8.45,NA,NA
"58-014","18","EAST","020","FLORENCE","036","DP 1840B3XF","1575","2","""",4.12,0.85,1.26,85.8,7.7,30.8,8.2,63.05,7.8,NA,NA
"58-015","18","EAST","020","FLORENCE","036","NG 5007B2XF","1576","1","""",3.91,0.83,1.15,81.7,9.3,25.85,9.4,59.4,8.5,NA,NA
"58-016","18","EAST","020","FLORENCE","036","NG 5007B2XF","1576","2","""",3.83,0.83,1.21,84.2,8.3,29.75,8.8,59.1,8.1,NA,NA
"58-017","18","EAST","020","FLORENCE","036","NG 3522B2XF","1577","1","""",4.19,0.85,1.11,83.4,9.4,26.55,8.2,61.3,8.55,NA,NA
"58-018","18","EAST","020","FLORENCE","036","NG 3522B2XF","1577","2","""",4.49,0.86,1.13,84.1,9.2,28.25,8,57.55,9.15,NA,NA
"58-019","18","EAST","020","FLORENCE","036","ST 5471GLTP","1578","1","""",3.77,0.83,1.17,83.6,8.2,29.4,8.5,63.75,8.15,NA,NA
"58-020","18","EAST","020","FLORENCE","036","ST 5471GLTP","1578","2","""",3.62,0.83,1.22,84.6,8,30.4,8.1,63.7,8,NA,NA
"61-001","18","EAST","020","ROCKY MT","037","PHY 499WRF*","1404","1","NATL STD",5.3,0.87,1.13,84.9,7.1,33.9,8.8,78.35,8.45,NA,NA
"61-002","18","EAST","020","ROCKY MT","037","PHY 499WRF*","1404","2","""",5.25,0.87,1.09,84.3,7.8,31.6,8.8,80.35,8.4,"3.9905708031655114",78.0692579430809
"61-011","18","EAST","020","ROCKY MT","037","DP 1538B2XF","1510","1","""",5.28,0.87,1.14,87.9,5.8,28.5,9.3,80.15,8.7,NA,NA
"61-012","18","EAST","020","ROCKY MT","037","DP 1538B2XF","1510","2","""",5.12,0.86,1.07,85,7.4,26.8,8.8,79.35,8.35,NA,NA
"61-003","18","EAST","020","ROCKY MT","037","DP 1646B2XF*","1516","1","""",4.86,0.86,1.22,84.6,7,29.65,8.9,83.55,8,"2.8767352400066883",71.2957100729819
"61-004","18","EAST","020","ROCKY MT","037","DP 1646B2XF*","1516","2","""",4.8,0.86,1.18,84.7,7.5,27.9,8.7,82.1,7.35,"5.474145191173994",66.9945852313842
"61-005","18","EAST","020","ROCKY MT","037","NG 4545B2XF*","1535","1","""",5.31,0.88,1.12,84.8,7.1,32.85,7,79.8,8.05,"4.7233468286099933",82.1823612505268
"61-006","18","EAST","020","ROCKY MT","037","NG 4545B2XF*","1535","2","""",5.08,0.88,1.07,82.2,9.8,28.85,7.1,75.75,8.35,"4.9611879851501817",72.8262901178244
"61-007","18","EAST","020","ROCKY MT","037","PHY 764WRF*","1536","1","""",4.59,0.86,1.19,84.7,6.7,39.7,8,79.3,8.85,"3.0670711156049886",71.8363860812259
