"breeder","yr","reg","regcode","loc","loccode","var","varcode","rep","remarks","mic","mat","uhm","ui","sfc","str","elo","rd","hunterb","card_loss","yt"
"89-015","18","DELTA","040","PORTAG","075","NG 3522B2XF","1577","1","""",5.1,0.88,1.3,86.6,6.1,34.2,7.4,72.8,5.4,NA,NA
"89-016","18","DELTA","040","PORTAG","075","NG 3522B2XF","1577","2","""",4.91,0.87,1.27,86.1,7.2,34.15,7,72.25,4.95,NA,NA
"89-019","18","DELTA","040","PORTAG","075","ST 5471GLTP","1578","1","""",4.73,0.86,1.18,83.3,8.2,32.3,7.9,74.5,4.25,NA,NA
"89-020","18","DELTA","040","PORTAG","075","ST 5471GLTP","1578","2","""",5.24,0.88,1.17,85.2,7.9,32.05,7.5,72.4,6.45,NA,NA
"28-001","18","DELTA","040","KEISER","184","PHY 499WRF*","1404","1","NATL STD",4.89,0.86,1.16,87,6.5,33.05,8.6,73.95,7.45,"8.0363147276395335",86.0972615653402
"28-002","18","DELTA","040","KEISER","184","PHY 499WRF*","1404","2","""",4.95,0.86,1.15,85,7.2,31.05,8.5,72.95,7.5,"8.2113410735318908",63.8594248449705
"28-003","18","DELTA","040","KEISER","184","DP 1646B2XF*","1516","1","""",4.46,0.85,1.32,84.9,5.7,28.65,8.7,77.35,6.6,"3.244147157190632",59.0742108774806
"28-004","18","DELTA","040","KEISER","184","DP 1646B2XF*","1516","2","""",4.52,0.85,1.34,86.1,5.4,28.6,8.9,75.9,5.9,"5.276381909547748",72.4372470638028
"28-009","18","DELTA","040","KEISER","184","DP 1518B2XF","1529","1","REGL STD",4.26,0.85,1.25,86.6,6.8,28.85,8.2,76.6,6.3,NA,NA
"28-010","18","DELTA","040","KEISER","184","DP 1518B2XF","1529","2","""",4.36,0.85,1.23,85.7,7,29.9,8.1,76.85,5.85,NA,NA
"28-005","18","DELTA","040","KEISER","184","NG 4545B2XF*","1535","1","""",4.68,0.87,1.19,85.1,6.9,32.1,6.9,73.3,6.6,"5.3326561706449951",69.0817252916659
"28-006","18","DELTA","040","KEISER","184","NG 4545B2XF*","1535","2","""",5.06,0.88,1.17,84.3,7.2,32.25,7.1,73.65,7.15,"8.4900864260294835",72.8085646528725
"28-007","18","DELTA","040","KEISER","184","PHY 764WRF*","1536","1","""",4.02,0.85,1.22,85.8,6.5,35.8,7.8,72.45,6.65,"8.9552238805970177",81.1446313040807
"28-008","18","DELTA","040","KEISER","184","PHY 764WRF*","1536","2","""",4.08,0.85,1.24,85.9,6.5,34.95,7.8,75.6,6.8,"6.8016877637130824",77.9999409948796
"28-011","18","DELTA","040","KEISER","184","DP 1522B2XF","1537","1","""",4.97,0.86,1.2,85.7,6.4,31.15,9.1,73.7,6.95,NA,NA
"28-012","18","DELTA","040","KEISER","184","DP 1522B2XF","1537","2","""",5.05,0.86,1.22,86.9,6.1,28.95,9.3,75.95,6.75,NA,NA
"28-017","18","DELTA","040","KEISER","184","PHY 330W3FE","1542","1","""",4.64,0.86,1.21,86.8,6.5,31.2,7.7,70.75,6.85,NA,NA
"28-018","18","DELTA","040","KEISER","184","PHY 330W3FE","1542","2","""",4.45,0.86,1.17,85.6,7.6,31.2,7.8,75.65,7.25,NA,NA
"28-013","18","DELTA","040","KEISER","184","PHY 444WRF","1549","1","""",4.26,0.85,1.25,86.5,7,29.55,7.9,76.7,7.1,NA,NA
"28-014","18","DELTA","040","KEISER","184","PHY 444WRF","1549","2","""",4.08,0.85,1.28,85.3,6.5,30.5,7.7,77.35,6.95,NA,NA
"28-015","18","DELTA","040","KEISER","184","NG 3522B2XF","1577","1","""",4.69,0.86,1.15,85.6,7.5,26.8,7.7,74.1,6.85,NA,NA
"28-016","18","DELTA","040","KEISER","184","NG 3522B2XF","1577","2","""",4.52,0.86,1.14,83.1,8.1,26.8,7.7,75.15,7.15,NA,NA
"28-019","18","DELTA","040","KEISER","184","ST 5471GLTP","1578","1","""",4.47,0.85,1.24,85.5,6.9,30.85,8.1,76.6,5.9,NA,NA
"28-020","18","DELTA","040","KEISER","184","ST 5471GLTP","1578","2","""",4.33,0.85,1.21,85.1,7.1,31.1,8,78.75,6,NA,NA
"36-011","18","WEST","052","FIVE POINTS","108","PHY 499WRF*","1404","1","NATL STD",4.53,0.86,1.21,84.2,7.5,33.85,8.6,63.55,9.15,NA,78.6999161820734
"36-012","18","WEST","052","FIVE POINTS","108","PHY 499WRF*","1404","2","""",5.15,0.87,1.09,83.3,8.3,33.1,8.3,68.85,8.95,"17.968618187953442",69.1587024657534
"36-021","18","WEST","052","FIVE POINTS","108","DG 2355B2RF","1479","1","""",4.49,0.85,1.18,82.4,8.5,31.3,8.4,69.05,8.4,NA,NA
"36-022","18","WEST","052","FIVE POINTS","108","DG 2355B2RF","1479","2","""",4.97,0.86,1.15,83.7,7.5,31.35,8.6,70.8,8.7,NA,NA
"36-013","18","WEST","052","FIVE POINTS","108","DP 1646B2XF*","1516","1","""",4.48,0.85,1.25,84.5,7.5,30.85,8.9,70.55,8.9,"8.9000839630562503",67.1820068187071
"36-014","18","WEST","052","FIVE POINTS","108","DP 1646B2XF*","1516","2","""",4.62,0.85,1.3,84.5,6.1,30.25,8.7,74.85,8.85,"9.3567251461988334",68.3054338627187
"36-015","18","WEST","052","FIVE POINTS","108","NG 4545B2XF*","1535","1","""",5.13,0.88,1.08,82.3,9.7,29.45,6.9,69.95,9.65,"14.807370184254612",56.3942975206611
"36-016","18","WEST","052","FIVE POINTS","108","NG 4545B2XF*","1535","2","""",4.6,0.86,1.14,82.6,8.5,32.1,7.3,70.4,8.7,"8.9179548156956017",72.0193378785789
"36-017","18","WEST","052","FIVE POINTS","108","PHY 764WRF*","1536","1","""",4.02,0.85,1.22,85.3,7.2,39.15,8,68.05,9.2,"15.965118229079328",75.3157507789339
"36-018","18","WEST","052","FIVE POINTS","108","PHY 764WRF*","1536","2","""",4.33,0.86,1.19,84,7.9,37.6,7.9,65.6,9.3,"22.557786401214784",87.7797055745986
"36-023","18","WEST","052","FIVE POINTS","108","Acala Daytona RF","1553","1","""",4.46,0.86,1.2,84.7,7.2,37.6,7.4,69.2,10.15,NA,NA
"36-024","18","WEST","052","FIVE POINTS","108","Acala Daytona RF","1553","2","""",4.61,0.87,1.2,85.8,6.4,38.6,7.5,68.2,9.25,NA,NA
"36-019","18","WEST","052","FIVE POINTS","108","DP 1549B2XF","1554","1","REGL STD",4.04,0.85,1.16,82.4,8,34.25,7.6,66.55,9.9,NA,NA
"36-020","18","WEST","052","FIVE POINTS","108","DP 1549B2XF","1554","2","""",3.52,0.84,1.18,82.6,9,34.45,7.7,71.55,9.65,NA,NA
"63-001","18","WEST","052","LAS CRUCES","155","PHY 499WRF*","1404","1","NATL STD",5.06,0.86,1.08,84.7,8.3,29.95,8.7,68.55,6.25,NA,NA
"63-002","18","WEST","052","LAS CRUCES","155","PHY 499WRF*","1404","2","""",5.08,0.86,1.07,83,8.8,27.55,8.9,68.2,6.2,NA,NA
"63-011","18","WEST","052","LAS CRUCES","155","DG 2355B2RF","1479","1","""",4.85,0.86,1.07,81.2,10.1,27.05,8.9,67.45,6.1,NA,NA
"63-012","18","WEST","052","LAS CRUCES","155","DG 2355B2RF","1479","2","""",5.17,0.87,1.02,81.9,10.3,27.95,8.7,68.65,6.15,NA,NA
"63-003","18","WEST","052","LAS CRUCES","155","DP 1646B2XF*","1516","1","""",4.45,0.85,1.21,83.6,8.4,29.9,8.4,69.75,5.2,NA,NA
"63-004","18","WEST","052","LAS CRUCES","155","DP 1646B2XF*","1516","2","""",4.73,0.86,1.2,83.2,8.2,28.2,8.1,73.45,6.1,NA,NA
"63-005","18","WEST","052","LAS CRUCES","155","NG 4545B2XF*","1535","1","""",5.24,0.88,1.07,82.2,9.1,31.3,6.7,66.6,6.4,NA,NA
"63-006","18","WEST","052","LAS CRUCES","155","NG 4545B2XF*","1535","2","""",5.25,0.88,1.09,84,8.8,29.1,7.1,69.85,6.45,NA,NA
"63-007","18","WEST","052","LAS CRUCES","155","PHY 764WRF*","1536","1","""",4.54,0.86,1.17,83.8,7.9,32.65,8.2,64.85,5.6,NA,NA
"63-008","18","WEST","052","LAS CRUCES","155","PHY 764WRF*","1536","2","""",4.63,0.86,1.08,80.7,10.9,29.25,7.8,64.85,5.6,NA,NA
"63-013","18","WEST","052","LAS CRUCES","155","Acala Daytona RF","1553","1","""",4.51,0.86,1.1,82.7,9.2,31.1,7.2,68.35,6.3,NA,NA
"63-014","18","WEST","052","LAS CRUCES","155","Acala Daytona RF","1553","2","""",4.78,0.87,1.08,84.9,8.3,31.35,7.6,63.9,5.25,NA,NA
"63-009","18","WEST","052","LAS CRUCES","155","DP 1549B2XF","1554","1","REGL STD",4.33,0.86,1.12,83.2,8.6,30.65,7.4,71.1,6.35,NA,NA
"63-010","18","WEST","052","LAS CRUCES","155","DP 1549B2XF","1554","2","""",4.57,0.86,1.12,83.9,9,30.45,7.8,73.55,6,NA,NA
"88-001","18","WEST","052","MARICOPA","196","PHY 499WRF*","1404","1","NATL STD",5.19,0.87,1.14,84.7,7.3,34.15,8.1,69.45,7.25,"5.0761421319796955",82.2572216224129
"88-002","18","WEST","052","MARICOPA","196","PHY 499WRF*","1404","2","""",4.6,0.86,1.08,83.4,8.6,34.7,8.1,72.65,7.25,"4.5890065557236577",75.411569410752
"88-011","18","WEST","052","MARICOPA","196","DG 2355B2RF","1479","1","""",4.31,0.85,1.14,84.5,7.8,36.85,7.9,76.2,7.75,NA,NA
"88-012","18","WEST","052","MARICOPA","196","DG 2355B2RF","1479","2","""",3.68,0.84,1.14,82.6,8.8,32.75,8.2,73.2,7.4,NA,NA
"88-003","18","WEST","052","MARICOPA","196","DP 1646B2XF*","1516","1","""",4.5,0.86,1.27,81.9,7.5,31.8,8.1,76.35,6.7,"5.2024088323854123",84.1093135792184
"88-004","18","WEST","052","MARICOPA","196","DP 1646B2XF*","1516","2","""",5.2,0.87,1.22,82.2,7.9,31.45,7.8,71.35,6.35,"4.6898638426626311",63.3726610425727
"88-005","18","WEST","052","MARICOPA","196","NG 4545B2XF*","1535","1","""",4.3,0.86,1.12,81.4,10,30.85,6.9,72.75,7.35,"6.4565070802427487",88.6922542020847
"88-006","18","WEST","052","MARICOPA","196","NG 4545B2XF*","1535","2","""",4.69,0.87,1.13,80.2,10.3,30.6,7,74.55,8.15,"4.6675621222296861",106.963486526436
"88-007","18","WEST","052","MARICOPA","196","PHY 764WRF*","1536","1","""",4.09,0.85,1.2,84.9,7.2,39.6,7.6,73.05,8.35,"6.4407916806440726",71.4124274182776
"88-008","18","WEST","052","MARICOPA","196","PHY 764WRF*","1536","2","""",4.69,0.87,1.13,83.5,8,36.35,7.5,69.4,7.05,"6.995123591726915",104.2282334538
"88-013","18","WEST","052","MARICOPA","196","Acala Daytona RF","1553","1","""",4.23,0.86,1.23,83.4,7.6,39.05,7.5,76.7,8.1,NA,NA
"88-014","18","WEST","052","MARICOPA","196","Acala Daytona RF","1553","2","""",4.15,0.85,1.2,83.2,8.1,37.05,7.4,73.85,7.4,NA,NA
"88-009","18","WEST","052","MARICOPA","196","DP 1549B2XF","1554","1","REGL STD",4.37,0.86,1.13,82.1,10,32.35,7.5,73.45,7.3,NA,NA
"88-010","18","WEST","052","MARICOPA","196","DP 1549B2XF","1554","2","""",5.04,0.88,1.11,83,9,34.2,7.2,71,7.35,NA,NA
"36-009","18","PIMA","060","FIVE POINTS","108","DP 348RF","1513","1","""",4.32,0.86,1.46,88.8,5,56.75,8.1,70.75,11.35,"19.334229993275052",90.5926984912734
"36-010","18","PIMA","060","FIVE POINTS","108","DP 348RF","1513","2","""",3.94,0.86,1.55,90.7,4.9,57.1,7.7,72.4,11.05,"12.683668299273767",95.4441910542776
"36-001","18","PIMA","060","FIVE POINTS","108","PHY 841RF","1531","1","NATL STD",4.67,0.87,1.52,90,5,52.5,8.1,72.55,11.1,"10.96211867247737",98.6999276180698
"36-002","18","PIMA","060","FIVE POINTS","108","PHY 841RF","1531","2","""",4.65,0.86,1.49,89.1,4.9,49.35,8.8,71.35,11.85,"24.217687074829925",72.2486246808511
"36-003","18","PIMA","060","FIVE POINTS","108","PHY 881RF","1532","1","""",4.77,0.87,1.54,90.5,5,48.1,8,73.05,10.75,"11.055107526881729",103.746683879093
"36-004","18","PIMA","060","FIVE POINTS","108","PHY 881RF","1532","2","""",4.46,0.86,1.52,88.7,5,50.3,8.1,73.65,10.9,"13.42123056118999",95.7464624945644
"36-005","18","PIMA","060","FIVE POINTS","108","PHY 888RF","1555","1","""",4.21,0.86,1.6,89.9,5,50.6,8.1,70.3,11.7,"10.541358439811695",87.7021854173063
"36-006","18","PIMA","060","FIVE POINTS","108","PHY888RF","1555","2","""",4.14,0.85,1.58,87.8,5,48.55,8.3,70.45,11.45,"11.315656139165686",91.4679897595726
"36-007","18","PIMA","060","FIVE POINTS","108","DP 341RF","1579","1","""",4.19,0.86,1.51,88.6,5,47.85,8,69.9,12.4,"13.06990881458967",90.0592126711127
"36-008","18","PIMA","060","FIVE POINTS","108","DP 341RF","1579","2","""",3.99,0.85,1.49,89.3,5,51.45,8.3,71.45,11.6,"10.07194244604317",101.347158311841
"63-023","18","PIMA","060","LAS CRUCES","155","DP 348RF","1513","1","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63-024","18","PIMA","060","LAS CRUCES","155","DP 348RF","1513","2","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63-015","18","PIMA","060","LAS CRUCES","155","PHY 841RF","1531","1","NATL STD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63-016","18","PIMA","060","LAS CRUCES","155","PHY 841RF","1531","2","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63-017","18","PIMA","060","LAS CRUCES","155","PHY 881RF","1532","1","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63-018","18","PIMA","060","LAS CRUCES","155","PHY 881RF","1532","2","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63-019","18","PIMA","060","LAS CRUCES","155","PHY 888RF","1555","1","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63-020","18","PIMA","060","LAS CRUCES","155","PHY888RF","1555","2","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63-021","18","PIMA","060","LAS CRUCES","155","DP 341RF","1579","1","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63-022","18","PIMA","060","LAS CRUCES","155","DP 341RF","1579","2","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60-059","18","HIGH QUAL","071","LUBBOCK","012","PHY 444WRF","1459","1","""",3.79,0.84,1.26,84.4,7.4,34.1,8.1,75.45,7.15,"7.4886915731278254",70.6790435790694
"60-060","18","HIGH QUAL","071","LUBBOCK","012","PHY 444WRF","1459","2","""",4.04,0.84,1.28,84.4,7,33,8.3,77.45,7.05,"4.8446374874707629",92.0485847729677
"60-033","18","HIGH QUAL","071","LUBBOCK","012","FM 1830GLT","1503","1","REGL STD",4.38,0.86,1.28,84.5,6.5,35.75,7.3,77.3,6.75,"4.677284157585917",69.4565149128656
"60-034","18","HIGH QUAL","071","LUBBOCK","012","FM 1830GLT","1503","2","""",4.43,0.85,1.24,83.9,7.6,33.35,8,75.3,5.65,"5.8299731182795789",71.650751835536
"60-029","18","HIGH QUAL","071","LUBBOCK","012","DP 1646B2XF*","1516","1","NATL STD",4.18,0.84,1.25,84.2,7.5,30.5,9.3,76.1,6.75,"6.4040234702430849",71.2174894045678
"60-030","18","HIGH QUAL","071","LUBBOCK","012","DP 1646B2XF*","1516","2","""",4.3,0.84,1.26,84.3,7.5,30.8,9.7,76.6,5.95,"5.8557804918855609",67.7983683068973
"60-031","18","HIGH QUAL","071","LUBBOCK","012","PHY 764WRF*","1536","1","""",4.19,0.85,1.23,84.3,7.6,35.2,8.2,74.3,7,"7.9079919408999331",86.8974553422605
"60-032","18","HIGH QUAL","071","LUBBOCK","012","PHY 764WRF*","1536","2","""",4.26,0.85,1.21,84.2,7.1,37.65,8.7,74.95,7.35,"7.0351758793969887",83.1130375653645
"60-035","18","HIGH QUAL","071","LUBBOCK","012","FM 2574GLT","1556","1","""",4.58,0.86,1.25,84.2,7.2,35.8,7.9,73.85,6.05,"8.2157258064516139",88.3180832910107
"60-036","18","HIGH QUAL","071","LUBBOCK","012","FM 2574GLT","1556","2","""",4.5,0.86,1.26,84.4,7,33.4,7.9,76,6.2,"6.161853593015449",98.1722429672929
"60-037","18","HIGH QUAL","071","LUBBOCK","012","ST 5020GLT","1557","1","""",4.43,0.85,1.26,85.1,7.2,34.05,8.3,76.55,7.55,"6.9486404833836879",95.2817121232863
"60-038","18","HIGH QUAL","071","LUBBOCK","012","ST 5020GLT","1557","2","""",4.05,0.84,1.23,83.5,7.7,33,9,75,6.45,"8.7489504617967988",76.5885923263647
"60-039","18","HIGH QUAL","071","LUBBOCK","012","DP 1845B3XF","1558","1","""",4.2,0.84,1.32,83.8,5.7,32.8,9.4,74.15,5.75,"8.8944723618090489",70.2327816471365
"60-040","18","HIGH QUAL","071","LUBBOCK","012","DP 1845B3XF","1558","2","""",4.23,0.84,1.28,83.8,6.8,33.25,9.6,76.05,6.3,"7.4890609222484059",87.4092111097047
"60-041","18","HIGH QUAL","071","LUBBOCK","012","DP 1820B3XF","1559","1","""",4.88,0.87,1.27,85.2,6.8,38.2,7.5,73.5,6.1,"6.2090954858197724",76.4226495380725
"60-042","18","HIGH QUAL","071","LUBBOCK","012","DP 1820B3XF","1559","2","""",4.92,0.87,1.27,83.9,7.5,36.1,7.8,76.15,6.55,"5.3676594312636672",71.8168489240884
"60-043","18","HIGH QUAL","071","LUBBOCK","012","ARK 1019-14","1560","1","""",4.48,0.85,1.27,83.3,7.5,32.65,8.6,75,5.9,"8.355614973262032",84.9578227751196
"60-044","18","HIGH QUAL","071","LUBBOCK","012","ARK 1019-14","1560","2","""",4.12,0.84,1.33,84.5,5.8,32.5,8.4,75.4,5.5,"7.1201206232199707",65.49130749354
"60-045","18","HIGH QUAL","071","LUBBOCK","012","ARK 1002-40","1561","1","""",4.57,0.86,1.3,87.5,5.6,36.55,7.7,75.9,6.35,"5.3804894401609014",85.1409020592667
"60-046","18","HIGH QUAL","071","LUBBOCK","012","ARK 1002-40","1561","2","""",4.46,0.86,1.31,86,5.6,34.1,8,73.75,6.4,"7.0013431833445283",82.0751607266989
"60-047","18","HIGH QUAL","071","LUBBOCK","012","ARK 1019-36","1562","1","""",4.26,0.85,1.33,85.8,5.5,34.7,8.5,74.75,6.65,"7.4421723097552768",68.7380592226565
"60-048","18","HIGH QUAL","071","LUBBOCK","012","ARK 1019-36","1562","2","""",4.39,0.85,1.3,85.8,6,33.05,8.3,72.9,5.65,"7.0025188916876493",66.5991956541067
"60-049","18","HIGH QUAL","071","LUBBOCK","012","NM 13P1125","1563","1","""",4.55,0.86,1.21,85,6.5,35.9,8.2,72.9,5.95,"8.9171974522292885",87.2555779096999
"60-050","18","HIGH QUAL","071","LUBBOCK","012","NM 13P1125","1563","2","""",4.17,0.85,1.2,84.5,7.1,35.35,8.6,72.85,5.8,"9.5142378559463978",71.4698347854858
"60-051","18","HIGH QUAL","071","LUBBOCK","012","NM 16W1079","1564","1","""",4.59,0.86,1.18,84.8,7.1,34.65,8.5,72.7,6,"8.1581160639192607",70.1689521538998
"60-052","18","HIGH QUAL","071","LUBBOCK","012","NM 16W1079","1564","2","""",4.42,0.85,1.17,83.2,7.8,34,8.7,75.5,6.1,"5.7171683201614236",110.032896918541
"60-053","18","HIGH QUAL","071","LUBBOCK","012","NM 16W1094","1565","1","""",4.41,0.85,1.19,86.1,6.9,34.65,8.7,75.4,6.55,"8.1834985716686237",85.709964440885
"60-054","18","HIGH QUAL","071","LUBBOCK","012","NM 16W1094","1565","2","""",4.42,0.85,1.21,84.8,7,35.65,8.4,72.25,6.05,"7.115222876366702",85.7291507226176
"60-055","18","HIGH QUAL","071","LUBBOCK","012","TAM 13Q-18","1566","1","""",4.21,0.85,1.26,84.5,6.7,34.2,8.5,73.95,6.9,"5.6234309623430958",62.9630911724264
"60-056","18","HIGH QUAL","071","LUBBOCK","012","TAM 13Q-18","1566","2","""",4.38,0.85,1.24,85.5,7.1,33.25,8.8,72.5,6.1,"10.079084637388528",90.142592340213
"60-057","18","HIGH QUAL","071","LUBBOCK","012","TAM KJ-Q14","1567","1","""",4.3,0.86,1.33,85.8,5.5,43.3,7.8,72.7,6.85,"8.3905543460056915",74.7796905388252
"60-058","18","HIGH QUAL","071","LUBBOCK","012","TAM KJ-Q14","1567","2","""",4.65,0.86,1.34,86.7,5.2,39.4,7.9,74.3,7.45,"6.8265682656826572",73.0639517113814
"60-061","18","HIGH QUAL","071","LUBBOCK","012","PHY 440W3FE","1568","1","""",3.92,0.85,1.27,83.5,7.3,39.3,7.9,73.95,7.25,"7.4290484140233648",96.8104723269156
"60-062","18","HIGH QUAL","071","LUBBOCK","012","PHY 440W3FE","1568","2","""",4.34,0.85,1.22,83.4,8.1,34.4,7.9,74.9,7.3,"7.4507183427998687",72.8129514344145
"60-063","18","HIGH QUAL","071","LUBBOCK","012","PHY 480W3FE","1569","1","""",4.13,0.84,1.18,83.1,7.6,32.4,9.1,75,7.15,"10.343096234309623",81.5800169215245
"60-064","18","HIGH QUAL","071","LUBBOCK","012","PHY 480W3FE","1569","2","""",4.35,0.84,1.2,84.5,7,32.35,9.3,75.4,7.35,"6.426306125855441",88.5295777239343
"60-065","18","HIGH QUAL","071","LUBBOCK","012","DC 180","1570","1","""",5.05,0.87,1.16,85.1,7.3,34.45,8.1,75.65,6.95,"6.2145005011693932",82.7657386304835
"60-066","18","HIGH QUAL","071","LUBBOCK","012","DC 180","1570","2","""",4.98,0.87,1.18,84.6,7,36.15,8.4,76.25,6.65,"6.2500000000000027",77.4881036928533
"60-067","18","HIGH QUAL","071","LUBBOCK","012","DC 375","1571","1","""",5.11,0.87,1.1,84.8,7.1,32.6,8.1,72.15,6.65,"6.6856092261407323",73.8308534151101
"60-068","18","HIGH QUAL","071","LUBBOCK","012","DC 375","1571","2","""",5.11,0.87,1.12,83.9,7.2,32.15,8.1,73.05,7.1,"7.1954484605086968",69.6925157034113
"60-069","18","HIGH QUAL","071","LUBBOCK","012","LA 14063001","1572","1","""",4.47,0.85,1.23,84.4,7.2,34.55,8.5,74.6,6.5,"6.2102443923669242",76.1535861707911
"60-070","18","HIGH QUAL","071","LUBBOCK","012","LA 14063001","1572","2","""",4.6,0.85,1.22,84.7,7,33.6,8.8,74.1,6.65,"8.4434041130245845",78.2051412860631
"60-071","18","HIGH QUAL","071","LUBBOCK","012","LA 14603038","1573","1","""",4.59,0.86,1.29,85.4,6.2,35.4,7.8,75.4,6.7,"7.3006238408362929",68.5931007772263
"60-072","18","HIGH QUAL","071","LUBBOCK","012","LA 14603038","1573","2","""",4.27,0.85,1.23,83.4,7.5,34.65,8.2,75.35,6.15,"6.5683646112600567",76.7040798933187
"26-099","18","HIGH QUAL","071","COLL STA","019","PHY 444WRF","1459","1","""",4.37,0.86,1.16,81.7,9.5,29.45,7.7,65.1,5.6,"10.54859464950898",51.0582992817392
"26-100","18","HIGH QUAL","071","COLL STA","019","PHY 444WRF","1459","2","""",4.29,0.85,1.13,80.9,10.7,27.25,7.6,60.7,6.8,"18.703452945159103",51.1469613719103
"26-073","18","HIGH QUAL","071","COLL STA","019","FM 1830GLT","1503","1","REGL STD",4.34,0.86,1.22,83,8.6,29.4,7.4,63.85,5.3,"11.963806970509385",55.2072395239785
"26-074","18","HIGH QUAL","071","COLL STA","019","FM 1830GLT","1503","2","""",4.57,0.86,1.21,82.8,8.1,31.85,7,63.45,5.55,"13.069604406609914",65.034561236951
"26-069","18","HIGH QUAL","071","COLL STA","019","DP 1646B2XF*","1516","1","NATL STD",4.37,0.85,1.25,82.4,8.3,29.35,8.4,66.2,5.15,"13.448333612460225",57.8976242954101
"26-070","18","HIGH QUAL","071","COLL STA","019","DP 1646B2XF*","1516","2","""",4.28,0.85,1.24,83,8.4,28.05,8.4,66.8,5.15,"8.2191780821917781",55.0382114228457
"26-071","18","HIGH QUAL","071","COLL STA","019","PHY 764WRF*","1536","1","""",3.85,0.84,1.11,82.4,9.2,32.4,7.8,64.6,6,"17.809827268153622",64.7417682568662
"26-072","18","HIGH QUAL","071","COLL STA","019","PHY 764WRF*","1536","2","""",4.04,0.85,1.16,82.8,8.6,32.4,7.9,61.65,6.3,"18.492224475997293",60.4415360375074
"26-075","18","HIGH QUAL","071","COLL STA","019","FM 2574GLT","1556","1","""",4.49,0.86,1.2,82.9,7.7,30.15,7.2,61.85,6.2,"9.7001172725749694",66.8556942916469
"26-076","18","HIGH QUAL","071","COLL STA","019","FM 2574GLT","1556","2","""",4.74,0.87,1.2,82.8,8.6,31.3,7,65.85,5.3,"13.185160427807489",60.4486753527469
"26-077","18","HIGH QUAL","071","COLL STA","019","ST 5020GLT","1557","1","""",4.54,0.86,1.23,82.1,8.4,30.35,8,66.55,6.1,"9.5317725752508302",62.6633736257645
"26-078","18","HIGH QUAL","071","COLL STA","019","ST 5020GLT","1557","2","""",4.4,0.85,1.19,79.8,10.6,28.1,8.2,59,6.9,"16.188870151770647",60.4285703700932
"26-079","18","HIGH QUAL","071","COLL STA","019","DP 1845B3XF","1558","1","""",3.93,0.84,1.21,81.3,10.2,30.05,8.5,68.65,5.55,"9.2502922023710124",59.2217069218639
"26-080","18","HIGH QUAL","071","COLL STA","019","DP 1845B3XF","1558","2","""",4.05,0.84,1.18,80,11.8,29.4,8.2,60.4,6.6,"13.284819766457948",51.351343829355
"26-081","18","HIGH QUAL","071","COLL STA","019","DP 1820B3XF","1559","1","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26-082","18","HIGH QUAL","071","COLL STA","019","DP 1820B3XF","1559","2","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26-083","18","HIGH QUAL","071","COLL STA","019","ARK 1019-14","1560","1","""",4.3,0.85,1.26,82.2,7.2,30.25,7.6,63.3,5.8,"17.056465085198798",57.7514378944489
"26-084","18","HIGH QUAL","071","COLL STA","019","ARK 1019-14","1560","2","""",4.2,0.85,1.22,81.6,9,29.75,7.6,65.25,5.55,"12.123745819397994",54.8423281706443
"26-085","18","HIGH QUAL","071","COLL STA","019","ARK 1002-40","1561","1","""",4.74,0.87,1.21,83.3,7.9,31.55,7.3,63.4,5.25,"16.956812855708073",61.3833079916193
"26-086","18","HIGH QUAL","071","COLL STA","019","ARK 1002-40","1561","2","""",4.49,0.86,1.29,85.9,5.7,34.15,6.9,64.5,5.45,"9.460137054989131",66.3817934019018
"26-087","18","HIGH QUAL","071","COLL STA","019","ARK 1019-36","1562","1","""",4.44,0.85,1.24,81.4,8.8,30.2,8.1,60.7,6.35,"18.04271061039179",53.4520933077522
"26-088","18","HIGH QUAL","071","COLL STA","019","ARK 1019-36","1562","2","""",4.33,0.85,1.29,83.1,7,30,8,66.4,5.2,"11.624790619765502",63.7643247114856
"26-089","18","HIGH QUAL","071","COLL STA","019","NM 13P1125","1563","1","""",4.24,0.85,1.17,82.5,8.4,31.8,8,65.8,5.55,"6.8566176470588189",55.0868901986052
"26-090","18","HIGH QUAL","071","COLL STA","019","NM 13P1125","1563","2","""",4.06,0.84,1.14,79.8,10.4,28.65,7.9,62.7,6.95,"17.209930754940039",56.3637550027348
"26-091","18","HIGH QUAL","071","COLL STA","019","NM 16W1079","1564","1","""",4.3,0.86,1.21,81.9,8.1,32.3,7.6,63.3,5.95,"15.547347212894568",67.8042982949151
