"breeder","yr","regcode","reg","loc","loccode","name","vcode","rep","mic","mat","uhm","ui","sfc","str","elo","rd","hunterb","yt","card_loss"
"28-004",17,"040","DELTA","KEISER","184","DP 1646B2XF*","1516","2",5.00606688670268,0.861743898685898,1.2761308080666,86.8405775513398,6.6083284455907,28.3991430190494,8.64990163758493,81.9709786888965,6.7089158454726,77.1436577687436,7.18833780160858
"28-019",17,"040","DELTA","KEISER","184","ST 4949GLT","1528","1",4.98483353845014,0.865413877604072,1.17860903253553,84.7671407583382,8.12490231914143,29.074622804678,8.08804643556896,79.9414238943534,7.36060453869756,NA,NA
"28-020",17,"040","DELTA","KEISER","184","ST 4949GLT","1528","2",5.01829788346326,0.867160029146195,1.18494078407851,84.8403479504147,7.76364508476971,28.9223331039452,7.94372155935655,80.5303193276605,7.83194763746379,NA,NA
"28-009",17,"040","DELTA","KEISER","184","DP 1518B2XF","1529","1",5.00950057750575,0.865538561541339,1.19957338835425,85.3634384456043,7.33748386076017,28.8453890752778,8.14208008974301,80.7822262639632,6.12534749639853,NA,NA
"28-010",17,"040","DELTA","KEISER","184","DP 1518B2XF","1529","2",4.98871116389031,0.866151816374754,1.20566540770752,85.7107206740124,7.5145115941853,29.6226297264516,8.02837893803252,79.8969387771737,6.71424453345356,NA,NA
"28-015",17,"040","DELTA","KEISER","184","NG 3406B2XF","1530","1",4.9174858689481,0.859940720641054,1.21201092703498,86.1779697301783,6.82494913699961,28.201507093601,8.58939062421393,80.1880312714154,6.79180670848882,NA,NA
"28-016",17,"040","DELTA","KEISER","184","NG 3406B2XF","1530","2",4.87733226021009,0.854621490333152,1.17602540573813,85.6570116775526,6.81415633977826,26.8017552075768,9.13135363987126,79.0635615235525,6.46733833304801,NA,NA
"28-005",17,"040","DELTA","KEISER","184","NG 4545B2XF*","1535","1",5.22016758966724,0.878497793886142,1.17060515087019,83.9775831548797,8.1083820353874,33.0732191840352,7.26400679214888,78.2329200453243,7.40954668400026,73.0213821834349,7.30185497470489
"28-006",17,"040","DELTA","KEISER","184","NG 4545B2XF*","1535","2",5.08158019505048,0.87644064252807,1.24345616645728,86.6520827947505,6.73235566179213,34.809398266253,7.18303778907437,78.125229362077,6.60866276814742,90.6163827493261,8.20358278921815
"28-007",17,"040","DELTA","KEISER","184","PHY 764WRF*","1536","1",4.56986124335702,0.858396360061433,1.22763432828413,86.8337513415121,6.58209314200834,36.3377192900172,8.09413972332559,79.0453939627947,7.3307183561411,78.5486966854701,22.0100502512563
"28-008",17,"040","DELTA","KEISER","184","PHY 764WRF*","1536","2",4.65876131115381,0.860748703239687,1.23191942442054,87.0620581076411,6.51666712423113,36.3279293271912,8.06407786098122,79.3723546861946,7.0854660385572,85.5153152953787,5.99730458221025
"28-011",17,"040","DELTA","KEISER","184","DP 1522B2XF","1537","1",5.35123444764588,0.868232918782812,1.17811935975625,86.1129282272332,7.55612766043493,30.2983783451858,9.03144443476813,79.1029375297838,6.68690608150894,NA,NA
"28-012",17,"040","DELTA","KEISER","184","DP 1522B2XF","1537","2",5.41974953666292,0.868700448308527,1.16603978670019,85.5160977702969,7.318403270488,30.2156326813326,9.19758879299845,80.1393237059977,7.40896252198649,NA,NA
"36-015",17,"052","WEST","FIVE POINTS","108","PHY 499WRF*","1404","1",4.76,0.86,1.15,85.1,7.6,32.5,8.1,64.75,8.6,92.0581580120269,22.3182511438739
"36-016",17,"052","WEST","FIVE POINTS","108","PHY 499WRF*","1404","2",4.29,0.85,1.16,84,8,33,8,70.25,9.1,78.652550266809,22.6058853546521
"36-025",17,"052","WEST","FIVE POINTS","108","DG 2355B2RF","1479","1",4.67,0.86,1.17,83.6,7.8,31.6,8.3,63.5,9.45,NA,NA
"36-026",17,"052","WEST","FIVE POINTS","108","DG 2355B2RF","1479","2",4.62,0.86,1.15,83.8,7.3,35.1,8.4,69.35,8.25,NA,NA
"36-017",17,"052","WEST","FIVE POINTS","108","DP 1646B2XF*","1516","1",4.84,0.87,1.21,84.1,7.5,31.7,7.8,74.35,8.25,84.7875746900826,15.8171041490262
"36-018",17,"052","WEST","FIVE POINTS","108","DP 1646B2XF*","1516","2",4.92,0.87,1.21,83.7,7.4,30.55,8.1,73.1,8.25,74.4062020631068,17.5888665325285
"36-019",17,"052","WEST","FIVE POINTS","108","NG 4545B2XF*","1535","1",4.96,0.88,1.12,83.4,8,31.4,6.1,69.45,8.75,86.0443609491034,15.9898904802022
"36-020",17,"052","WEST","FIVE POINTS","108","NG 4545B2XF*","1535","2",4.98,0.88,1.1,83,8.1,29.7,5.8,69.85,9,98.5155017622668,13.8024357239513
"36-021",17,"052","WEST","FIVE POINTS","108","PHY 764WRF*","1536","1",4.79,0.87,1.19,83.3,7.8,36.4,7.4,67.4,9.3,93.1427225056111,32.4865410497981
"36-022",17,"052","WEST","FIVE POINTS","108","PHY 764WRF*","1536","2",4.22,0.86,1.17,83.4,8.2,35,7.4,67.15,8.85,83.5325787183002,19.3082605775688
"36-027",17,"052","WEST","FIVE POINTS","108","Acala Daytona RF","1553","1",4.44,0.87,1.21,84.9,7.2,38.75,6.7,71.55,8.95,NA,NA
"36-028",17,"052","WEST","FIVE POINTS","108","Acala Daytona RF","1553","2",4.37,0.87,1.2,85.2,6.9,37.35,6.5,61.4,8.55,NA,NA
"36-023",17,"052","WEST","FIVE POINTS","108","DP 1549B2XF","1554","1",4.55,0.87,1.14,82.9,8.7,32.3,6.6,68.15,9.25,NA,NA
"36-024",17,"052","WEST","FIVE POINTS","108","DP 1549B2XF","1554","2",4.57,0.87,1.14,83.5,8.8,31.05,6.5,67.7,9.4,NA,NA
"88-001",17,"052","WEST","MARICOPA","196","PHY 499WRF*","1404","1",4.73,0.86,1.18,84.2,7.1,32.7,7.9,81.8,8.85,75.8428596534653,8.40589417280642
"88-002",17,"052","WEST","MARICOPA","196","PHY 499WRF*","1404","2",4.56,0.86,1.18,84.8,6.5,33.65,8.7,77.4,8.75,77.8378966560242,9.41968040370059
"88-011",17,"052","WEST","MARICOPA","196","DG 2355B2RF","1479","1",3.87,0.85,1.16,81.5,8.8,32.85,7.7,81.4,9,NA,NA
"88-012",17,"052","WEST","MARICOPA","196","DG 2355B2RF","1479","2",4.21,0.85,1.17,84.6,8.2,36.85,8.3,80.8,8.75,NA,NA
"88-003",17,"052","WEST","MARICOPA","196","DP 1646B2XF*","1516","1",4.55,0.86,1.26,82.3,7,31.45,8,82.25,8.45,79.6041021760942,9.54697986577182
"88-004",17,"052","WEST","MARICOPA","196","DP 1646B2XF*","1516","2",4.73,0.86,1.25,83.8,7.2,31.45,7.9,82.2,8.8,72.1537075599819,10.7645875251509
"88-005",17,"052","WEST","MARICOPA","196","NG 4545B2XF*","1535","1",4.39,0.87,1.14,82.5,9.4,30.4,5.7,78.7,8.75,83.416461971831,8
"88-006",17,"052","WEST","MARICOPA","196","NG 4545B2XF*","1535","2",4.42,0.87,1.18,83.2,7.3,33.75,6,80.1,8.75,69.4633316590126,11.1595174262735
"88-007",17,"052","WEST","MARICOPA","196","PHY 764WRF*","1536","1",3.73,0.85,1.22,84.4,6.4,36.85,7.4,79.6,9.15,85.859226788997,11.5008431703204
"88-008",17,"052","WEST","MARICOPA","196","PHY 764WRF*","1536","2",3.41,0.84,1.19,84.4,6.6,38.05,7.1,78.8,8.75,92.7956970412117,11.1241217798595
"88-013",17,"052","WEST","MARICOPA","196","Acala Daytona RF","1553","1",4.39,0.87,1.21,84.9,6.8,36.4,6.8,79.65,9.05,NA,NA
"88-014",17,"052","WEST","MARICOPA","196","Acala Daytona RF","1553","2",4.9,0.87,1.21,85.6,5.8,33.05,7.6,80.5,8.95,NA,NA
"88-009",17,"052","WEST","MARICOPA","196","DP 1549B2XF","1554","1",4.43,0.86,1.14,82.5,8.5,30.5,6.5,80.05,9.1,NA,NA
"88-010",17,"052","WEST","MARICOPA","196","DP 1549B2XF","1554","2",4.46,0.87,1.18,84.1,7.1,35.55,6.4,80.3,9.2,NA,NA
"36-011",17,"060","PIMA","FIVE POINTS","108","PHY 805RF","1432","1",4.04,0.86,1.41,87.6,4.8,47.8,6.1,60.4,11.15,NA,NA
"36-012",17,"060","PIMA","FIVE POINTS","108","PHY 805RF","1432","2",4.48,0.88,1.41,86.9,4.8,52.2,6,59.4,12.15,NA,NA
"36-013",17,"060","PIMA","FIVE POINTS","108","PHY 802RF","1433","1",3.9,0.86,1.43,87.8,4.8,56.15,6.5,62.35,11.35,NA,NA
"36-014",17,"060","PIMA","FIVE POINTS","108","PHY 802RF","1433","2",4.04,0.87,1.46,89,4.7,51.3,6.3,63.15,11.15,NA,NA
"36-003",17,"060","PIMA","FIVE POINTS","108","DP 358RF","1471","1",4.01,0.87,1.47,88.5,4.8,53.85,6.2,60.65,11.25,82.9180796497487,23.2577525841947
"36-004",17,"060","PIMA","FIVE POINTS","108","DP 358RF","1471","2",3.94,0.86,1.49,89.4,4.8,52.7,6.6,57.9,11.85,111.56184776274,24.8762164930852
"36-001",17,"060","PIMA","FIVE POINTS","108","DP 348RF","1513","1",4.22,0.86,1.36,88.2,4.9,47.3,7.1,61,11.75,88.7696633553362,22.1862761791248
"36-002",17,"060","PIMA","FIVE POINTS","108","DP 348RF","1513","2",4.08,0.87,1.43,88.4,4.8,51.25,6.4,59.35,11.9,85.4143717128984,26.9138755980861
"36-005",17,"060","PIMA","FIVE POINTS","108","PHY 841RF","1531","1",4.31,0.87,1.43,87.1,4.8,52.5,7,57.85,11.7,98.8055770923657,17.8310385857556
"36-006",17,"060","PIMA","FIVE POINTS","108","PHY 841RF","1531","2",4.22,0.87,1.49,87.7,4.8,48.55,6.1,60.6,11.8,96.2815543243773,21.6740387887036
"36-007",17,"060","PIMA","FIVE POINTS","108","PHY 881RF","1532","1",4.12,0.87,1.48,87.7,4.8,53.8,6.3,63.3,11.6,79.1742037498145,20.0509770603229
"36-008",17,"060","PIMA","FIVE POINTS","108","PHY 881RF","1532","2",4.31,0.87,1.52,88.8,4.8,52,6.2,60.7,11.5,86.4695162278635,20.734415029889
"36-009",17,"060","PIMA","FIVE POINTS","108","PHY 888RF","1555","1",4.38,0.87,1.48,87.8,4.8,52.5,6.5,60.7,12.1,NA,NA
"36-010",17,"060","PIMA","FIVE POINTS","108","PHY 888RF","1555","2",4.24,0.87,1.49,86.7,4.8,49.15,6.8,59.15,11.7,NA,NA
"60-043",17,"071","HIGH QUAL","LUBBOCK","012","PHY 444WRF","1459","1",3.6,0.84,1.21,81.3,9.9,29.95,7.1,73.9,9,50.5392185821528,5.06436314363144
"60-044",17,"071","HIGH QUAL","LUBBOCK","012","PHY 444WRF","1459","2",3.63,0.84,1.25,82.2,8.2,31.35,7.4,73.15,9.9,58.1757403524642,6.10328638497653
"60-039",17,"071","HIGH QUAL","LUBBOCK","012","FM 2322GL","1474","1",4.25,0.86,1.2,81.8,8.2,33.4,6.4,71.8,9,66.7597445423022,7.00402144772118
"60-040",17,"071","HIGH QUAL","LUBBOCK","012","FM 2322GL","1474","2",4.21,0.86,1.23,81.6,8.2,32.85,6.3,72.8,9,49.8027143663607,5.11035653650254
"60-041",17,"071","HIGH QUAL","LUBBOCK","012","FM 2334GLT","1483","1",4.18,0.86,1.23,82.4,7.8,33.35,6.8,77.1,8.15,72.8270914573858,5.37273337810612
"60-042",17,"071","HIGH QUAL","LUBBOCK","012","FM 2334GLT","1483","2",4.25,0.86,1.29,82.4,7.1,31.45,6.7,76.35,8.15,72.0778163837258,9.5142378559464
"60-037",17,"071","HIGH QUAL","LUBBOCK","012","FM 1830GLT","1503","1",4.25,0.86,1.25,81.3,8.5,33.3,6.4,76.3,8.05,63.192500275805,4.750553379874
"60-038",17,"071","HIGH QUAL","LUBBOCK","012","FM 1830GLT","1503","2",3.97,0.85,1.29,82.2,6.9,31.4,6.6,76.55,8.2,76.1418981739353,5.57614555256065
"60-029",17,"071","HIGH QUAL","LUBBOCK","012","DP 1646B2XF*","1516","1",4.32,0.85,1.24,82.2,8.1,30.9,8.1,74.4,9.25,51.4461094849737,6.11800201139792
"60-030",17,"071","HIGH QUAL","LUBBOCK","012","DP 1646B2XF*","1516","2",4.05,0.84,1.29,81.6,7.2,28.6,8.1,77.25,8.65,52.8604667328365,5.10135135135136
"60-059",17,"071","HIGH QUAL","LUBBOCK","012","TAM BB-2139","1521","1",3.07,0.83,1.33,80,6.5,32.7,6.6,74.05,9,71.737981297772,8.83977900552485
"60-060",17,"071","HIGH QUAL","LUBBOCK","012","TAM BB-2139","1521","2",3.47,0.84,1.38,82.4,5,33.6,6.5,75.85,8.55,66.4586297053944,5.75079872204473
"60-031",17,"071","HIGH QUAL","LUBBOCK","012","PHY 764WRF*","1536","1",3.72,0.84,1.16,81.9,8.3,34.5,7.9,71.5,9.3,56.5742740993348,8.14502529510961
"60-032",17,"071","HIGH QUAL","LUBBOCK","012","PHY 764WRF*","1536","2",3.66,0.84,1.18,82.4,8.5,35.8,7.4,74.5,9.2,63.6236714980641,6.61309224845136
"60-033",17,"071","HIGH QUAL","LUBBOCK","012","MON 16R341B3XF","1538","1",4.06,0.85,1.24,82.2,8.1,30.5,8.2,78.3,7.9,77.9990566249824,5.48452220726783
"60-034",17,"071","HIGH QUAL","LUBBOCK","012","MON 16R341B3XF","1538","2",3.87,0.84,1.29,82.2,6.9,30.8,8.2,78.35,8.3,54.9665507910279,5.77436582109479
"60-035",17,"071","HIGH QUAL","LUBBOCK","012","MON 16R346B3XF","1539","1",4.02,0.84,1.26,82.5,7.6,30.5,8.9,74.35,8.85,59.8116415040184,6.06670018434725
"60-036",17,"071","HIGH QUAL","LUBBOCK","012","MON 16R346B3XF","1539","2",4.01,0.84,1.31,82.3,5.9,27.55,8,79.15,7.8,50.6062879857513,6.33461474176834
"60-065",17,"071","HIGH QUAL","LUBBOCK","012","NM 13G1029","1540","1",4.26,0.85,1.23,83,7.9,33.6,7.7,74.45,8.65,61.3388055610725,6.07882431529726
"60-066",17,"071","HIGH QUAL","LUBBOCK","012","NM 13G1029","1540","2",4.13,0.85,1.27,83.1,7.9,31.6,7.7,73.65,9.6,54.1745336225597,5.12863628720363
"60-067",17,"071","HIGH QUAL","LUBBOCK","012","NM 13G2019","1541","1",3.72,0.84,1.22,83.2,8,32.15,8,74.25,9.15,57.0863403741308,6.59675236806495
"60-068",17,"071","HIGH QUAL","LUBBOCK","012","NM 13G2019","1541","2",3.67,0.84,1.24,83,8,31.9,8,75.25,8.7,68.3930534066366,6.95754716981132
"60-045",17,"071","HIGH QUAL","LUBBOCK","012","PHY 330W3FE","1542","1",4.47,0.86,1.17,82.7,8.5,32.35,7,70.05,9.45,69.5835284953261,3.06532663316584
"60-046",17,"071","HIGH QUAL","LUBBOCK","012","PHY 330W3FE","1542","2",3.95,0.85,1.17,82.1,9.1,30.75,7.1,70.5,9.75,47.8659415853912,3.69938343609398
"60-048",17,"071","HIGH QUAL","LUBBOCK","012","PHY 450W3FE","1543","2",4.01,0.84,1.16,82.6,8.5,31.8,8.4,75.6,8.85,56.4727982474994,7.37704918032787
"60-047",17,"071","HIGH QUAL","LUBBOCK","012","PHY 450W3FE","1543","1",4.03,0.84,1.12,82.3,8.7,32.85,8.6,72.45,9.25,58.7917996905331,6.56040268456376
"60-049",17,"071","HIGH QUAL","LUBBOCK","012","ARK 0921-58ne","1544","1",3.46,0.83,1.2,80.8,8.9,31.75,8.2,74.85,8.45,68.7172959586604,10.2452133019819
"60-050",17,"071","HIGH QUAL","LUBBOCK","012","ARK 0921-58ne","1544","2",3.37,0.83,1.24,81.4,8.6,31.9,8,75.85,8.65,59.8352905542919,8.77281098275573
"60-051",17,"071","HIGH QUAL","LUBBOCK","012","ARK 0912-41","1545","1",4.61,0.86,1.23,83.4,7.2,30.8,8.3,73.6,9.4,60.7497171555868,6.90411883862256
"60-052",17,"071","HIGH QUAL","LUBBOCK","012","ARK 0912-41","1545","2",4.32,0.85,1.24,83.2,7.5,31.15,8.2,73.15,9.2,59.9188933479579,5.71909167367537
"60-053",17,"071","HIGH QUAL","LUBBOCK","012","ARK 0908-52","1546","1",4.41,0.85,1.2,82.2,8.7,29.35,8.3,78,8.5,57.7730997364452,4.73223307510947
"60-054",17,"071","HIGH QUAL","LUBBOCK","012","ARK 0908-52","1546","2",4.58,0.85,1.27,81.7,7.4,27.05,8.3,79,8.15,54.7112972436057,5.19872547375482
"60-055",17,"071","HIGH QUAL","LUBBOCK","012","LA 11307012","1547","1",4.63,0.86,1.22,81,9.1,29.7,8.1,69.2,10.05,58.8483591164918,8.80293431143714
"60-056",17,"071","HIGH QUAL","LUBBOCK","012","LA 11307012","1547","2",4.73,0.86,1.24,82.9,8.2,29.05,8.2,69.2,10.45,54.7616020718046,5.47347212894561
"60-057",17,"071","HIGH QUAL","LUBBOCK","012","LA 11307105","1548","1",3.82,0.84,1.21,82.9,8.5,30.65,8.4,75.25,9.1,68.9171721765146,7.73213092852372
"60-058",17,"071","HIGH QUAL","LUBBOCK","012","LA 11307105","1548","2",4.24,0.84,1.21,83.3,7.9,30.8,9.5,70.8,9.65,53.2733768412643,8.36945648549516
"60-061",17,"071","HIGH QUAL","LUBBOCK","012","TAM 12I-72","1549","1",4.11,0.85,1.21,83.2,7.9,33.85,7.4,73.25,9.3,66.0139494277929,8.25998645903858
"60-062",17,"071","HIGH QUAL","LUBBOCK","012","TAM 12I-72","1549","2",3.95,0.85,1.23,84.3,7.4,34.3,7.2,73.8,8.65,67.48589361919,7.39181680417579
"60-063",17,"071","HIGH QUAL","LUBBOCK","012","TAM 12J-39","1550","1",4.48,0.86,1.18,84.8,7.1,35.15,7.8,70.85,9.95,70.5146185118461,6.16288832913517
"60-064",17,"071","HIGH QUAL","LUBBOCK","012","TAM 12J-39","1550","2",3.86,0.84,1.2,84.7,7.5,34.9,7.9,77,8.95,77.5564480663802,9.27284856571048
"26-083",17,"071","HIGH QUAL","COLL STA","019","PHY 444WRF","1459","1",3.78,0.85,1.29,86.4,5.5,31.8,6.6,79.8,7.4,71.4516482580934,8.35278426142047
"26-084",17,"071","HIGH QUAL","COLL STA","019","PHY 444WRF","1459","2",3.95,0.85,1.33,86.9,4.3,33.5,6.9,81.5,7.45,74.5679197929716,5.71380414630036
"26-079",17,"071","HIGH QUAL","COLL STA","019","FM 2322GL","1474","1",4.44,0.87,1.24,84.9,5.3,34.85,5.9,77.4,8.25,81.0320820412169,7.4841296358169
"26-080",17,"071","HIGH QUAL","COLL STA","019","FM 2322GL","1474","2",4.6,0.88,1.24,85.8,5.4,36.25,5.9,78.55,7.25,72.4917301810366,8.04943219772879
"26-081",17,"071","HIGH QUAL","COLL STA","019","FM 2334GLT","1483","1",4.49,0.87,1.23,85.4,5.7,34.95,5.8,79.2,7.05,68.0270065459344,8.37248322147651
"26-082",17,"071","HIGH QUAL","COLL STA","019","FM 2334GLT","1483","2",4.54,0.87,1.28,87.1,5.2,32.6,6.3,81.6,5.95,79.1288130021548,5.37652645861601
"26-077",17,"071","HIGH QUAL","COLL STA","019","FM 1830GLT","1503","1",4.33,0.87,1.29,86.1,5.2,34.2,5.7,81.3,6.35,86.2635863874346,4.82993197278911
"26-078",17,"071","HIGH QUAL","COLL STA","019","FM 1830GLT","1503","2",4.74,0.88,1.28,87.1,5.2,34.75,6.4,81.8,6.5,73.735720754717,6.64206642066421
"26-069",17,"071","HIGH QUAL","COLL STA","019","DP 1646B2XF*","1516","1",4.52,0.86,1.28,85.7,5.5,31.8,7.5,81.15,6.9,67.0528911783849,6.178834561286
"26-070",17,"071","HIGH QUAL","COLL STA","019","DP 1646B2XF*","1516","2",4.93,0.87,1.28,85.6,5.5,32.3,8.1,81.15,6.8,66.6050670734774,6.53846153846153
"26-099",17,"071","HIGH QUAL","COLL STA","019","TAM BB-2139","1521","1",3.79,0.86,1.5,86,4,35.35,5,81.95,6.85,81.3561100344171,7.68456375838926
"26-100",17,"071","HIGH QUAL","COLL STA","019","TAM BB-2139","1521","2",3.94,0.86,1.43,85.6,4,34.5,5.4,79.3,7.4,79.6834126317844,7.48528174936922
"26-071",17,"071","HIGH QUAL","COLL STA","019","PHY 764WRF*","1536","1",4.12,0.86,1.23,86.6,5.4,35.05,7.1,76.8,8.35,97.3187172607597,7.91930643547849
"26-072",17,"071","HIGH QUAL","COLL STA","019","PHY 764WRF*","1536","2",4.25,0.86,1.23,87.2,5.4,36,7.2,78.45,7.75,75.4518967748527,6.85160427807487
"26-073",17,"071","HIGH QUAL","COLL STA","019","MON 16R341B3XF","1538","1",4.24,0.85,1.33,86.5,4.5,32.55,8,78.45,6,96.025206971962,11.5782449115782
"26-074",17,"071","HIGH QUAL","COLL STA","019","MON 16R341B3XF","1538","2",4.39,0.85,1.33,87.7,4.3,32.95,8.2,80.65,6.55,82.1059200352785,8.25348798117331
"26-075",17,"071","HIGH QUAL","COLL STA","019","MON 16R346B3XF","1539","1",4.63,0.86,1.31,85.3,5,34.15,7.5,80.1,6.25,61.9552803126558,7.91596638655462
"26-076",17,"071","HIGH QUAL","COLL STA","019","MON 16R346B3XF","1539","2",4.95,0.87,1.36,89,4,32.15,8.2,81.95,6.3,65.4884978774252,6.32762672037596
"26-105",17,"071","HIGH QUAL","COLL STA","019","NM 13G1029","1540","1",4.47,0.86,1.3,86.6,4.8,31.8,7.2,79.55,7.4,98.6070541042302,8.47315436241611
"26-106",17,"071","HIGH QUAL","COLL STA","019","NM 13G1029","1540","2",4.52,0.87,1.33,86,4.4,33.55,6.9,81,7.25,61.301280226393,5.01008742434431
"26-107",17,"071","HIGH QUAL","COLL STA","019","NM 13G2019","1541","1",4.59,0.86,1.26,87.1,4.9,33.3,7.6,75.85,7.1,69.7698472505741,8.63681924490478
"26-108",17,"071","HIGH QUAL","COLL STA","019","NM 13G2019","1541","2",4.28,0.85,1.25,85.8,5.3,32.9,8,78.6,6.9,77.1204392546502,7.07846410684474
"26-085",17,"071","HIGH QUAL","COLL STA","019","PHY 330W3FE","1542","1",4.25,0.86,1.2,85.7,6,33.3,6.5,79.45,7.6,58.7738640059865,15.1626970815163
"26-086",17,"071","HIGH QUAL","COLL STA","019","PHY 330W3FE","1542","2",4.49,0.87,1.23,86.6,6.1,32.15,6.4,78.05,6.75,72.6083559540321,7.30524908057505
"26-088",17,"071","HIGH QUAL","COLL STA","019","PHY 450W3FE","1543","2",4.58,0.87,1.25,85.9,5.3,31.05,6.9,78.05,6.7,72.6399508554602,8.43981170141223
"26-087",17,"071","HIGH QUAL","COLL STA","019","PHY 450W3FE","1543","1",4.99,0.87,1.17,87.9,4.9,33.3,7.9,79.75,7.65,69.3257324702985,7.46218487394958
"26-089",17,"071","HIGH QUAL","COLL STA","019","ARK 0921-58ne","1544","1",4.25,0.86,1.29,86.6,4.7,31.45,7,81,7.55,62.0862678910598,5.59276624246483
"26-090",17,"071","HIGH QUAL","COLL STA","019","ARK 0921-58ne","1544","2",5.23,0.87,1.18,87.1,5.2,34,8.4,78.5,7.4,64.5667804625186,7.16317991631799
"26-091",17,"071","HIGH QUAL","COLL STA","019","ARK 0912-41","1545","1",4.8,0.87,1.27,86.6,5.3,34.25,7.4,79.7,8.15,66.7715547945205,6.36804278789904
"26-092",17,"071","HIGH QUAL","COLL STA","019","ARK 0912-41","1545","2",4.92,0.87,1.29,86.5,5,33.85,7.3,78.2,7.25,75.0163370842215,6.77257525083612
"26-093",17,"071","HIGH QUAL","COLL STA","019","ARK 0908-52","1546","1",4.8,0.87,1.28,85.5,5.4,29.65,7,80.95,7.25,82.329195405519,5.29857022708159
"26-094",17,"071","HIGH QUAL","COLL STA","019","ARK 0908-52","1546","2",4.96,0.87,1.3,86.3,5.1,31.75,7,80.45,6.65,87.1815382766182,5.75079872204473
"26-095",17,"071","HIGH QUAL","COLL STA","019","LA 11307012","1547","1",4.56,0.87,1.28,85.4,5.5,29,6.5,76.8,7.2,57.4719192873899,7.75716694772343
"26-096",17,"071","HIGH QUAL","COLL STA","019","LA 11307012","1547","2",5.03,0.88,1.26,87,5.4,31.05,7,78.2,7.35,68.9236581526581,5.51931761164074
"26-097",17,"071","HIGH QUAL","COLL STA","019","LA 11307105","1548","1",4.8,0.87,1.22,86.7,5.4,32.35,7,79.2,7.3,74.6802202851088,4.34346809221517
"26-098",17,"071","HIGH QUAL","COLL STA","019","LA 11307105","1548","2",4.53,0.87,1.3,87.5,4.5,32.8,6.8,80.05,7.8,78.3860260868119,5.73825503355705
"26-101",17,"071","HIGH QUAL","COLL STA","019","TAM 12I-72","1549","1",4.55,0.87,1.26,85.7,5.3,39.3,7.2,78.9,8.05,69.2559207102403,6.74815807099799
"26-102",17,"071","HIGH QUAL","COLL STA","019","TAM 12I-72","1549","2",4.55,0.87,1.26,85.6,5.1,36.25,6.1,77.9,7.8,67.879356810415,6.77852348993288
"26-103",17,"071","HIGH QUAL","COLL STA","019","TAM 12J-39","1550","1",4.28,0.86,1.24,87.6,4.8,39.25,6.6,77.95,8.9,95.5694578291553,7.23035045933991
"26-104",17,"071","HIGH QUAL","COLL STA","019","TAM 12J-39","1550","2",4.89,0.88,1.19,86.4,5.1,36.85,6.8,75.2,8.8,67.275523763637,9.09395973154363
"85-015",17,"071","HIGH QUAL","ST'VILLE","025","PHY 444WRF","1459","1",3.86832040238296,0.845085841784199,1.3388306317134,88.2615825401444,5.17796806275281,34.1035815334694,7.43462296562398,80.9222251730358,7.70476777244793,73.5361570331447,7.86686838124054
"85-016",17,"071","HIGH QUAL","ST'VILLE","025","PHY 444WRF","1459","2",3.7958474356713,0.843198506823297,1.32512616916866,87.99099441211,5.37087388372776,34.4274483838126,7.47387543857681,80.9356173974255,7.75948403156152,78.8708226224309,7.29411764705883
"85-011",17,"071","HIGH QUAL","ST'VILLE","025","FM 2322GL","1474","1",3.48787751284339,0.841681675141971,1.21046344220095,82.9853235038465,8.33081388465384,35.8043546433897,6.70364186146248,78.3206319487622,7.61859897582495,75.7933633674475,14.8006007008176
"85-012",17,"071","HIGH QUAL","ST'VILLE","025","FM 2322GL","1474","2",3.91970100273521,0.854117450462059,1.28009012315091,86.1635373372548,6.43153807165564,38.4443615074187,6.57480657019309,78.7062420154115,7.43770946821389,62.6192162661737,12.5628983562563
"85-013",17,"071","HIGH QUAL","ST'VILLE","025","FM 2334GLT","1483","1",4.41962316846043,0.86055818990729,1.31117048378507,88.8223710735956,5.45633808830972,35.1226262280903,7.18608196808526,80.282162842983,6.85432010479604,65.3962596981216,10.3372681281619
"85-014",17,"071","HIGH QUAL","ST'VILLE","025","FM 2334GLT","1483","2",4.35590679386236,0.860792744073365,1.31303769724551,88.4872785660034,5.38344626691328,35.5139835773756,6.9541552116495,81.8654708929121,6.74443419653046,63.8407872188171,7.65477792732166
"85-009",17,"071","HIGH QUAL","ST'VILLE","025","FM 1830GLT","1503","1",4.26032530157384,0.85788903437655,1.33218620477727,87.4190108028196,5.25898780689415,34.5518434529877,6.98158489333263,82.0073998061848,6.73985247203805,77.7039686977663,6.99933020763563
"85-010",17,"071","HIGH QUAL","ST'VILLE","025","FM 1830GLT","1503","2",4.42571166531732,0.861232941649873,1.30156124914393,87.2941573228326,5.50146344357293,34.3576604578778,7.06375642312719,81.684056416633,7.02149211978653,75.3843488674073,7.37458193979933
"85-001",17,"071","HIGH QUAL","ST'VILLE","025","DP 1646B2XF*","1516","1",3.82664924285873,0.839991217334404,1.32543151986553,87.2985955686785,5.40726761574062,33.4720648237593,7.9854316425133,80.5854178959504,6.48611079350919,93.8080821837394,6.46891235126529
"85-002",17,"071","HIGH QUAL","ST'VILLE","025","DP 1646B2XF*","1516","2",4.31224245508537,0.851958851447594,1.31816272877281,86.480958776809,5.49408798411009,32.308457767434,7.88104877947999,79.8610705480155,7.03552369470974,63.6108635709978,8.47943358057991
