"breeder","yr","regcode","reg","loc","loccode","name","vcode","rep","mic","mat","uhm","ui","sfc","str","elo","rd","hunterb","yt","card_loss"
"58-016",17,"020","EAST","FLORENCE","036","PHY 444WRF","1459","2",3.72,0.84,1.25,85.7,5.8,33.15,7.3,73.3,7.4,NA,NA
"58-019",17,"020","EAST","FLORENCE","036","ST 4946GLB2","1468","1",4.75,0.86,1.14,86,6.3,33.55,9.1,72.1,8.05,NA,NA
"58-020",17,"020","EAST","FLORENCE","036","ST 4946GLB2","1468","2",4.88,0.86,1.15,85.6,5.4,31.15,8.4,73.55,7.6,NA,NA
"58-013",17,"020","EAST","FLORENCE","036","DP 1553B2XF","1507","1",4.48,0.85,1.17,84.1,6.5,31.9,8.8,75.35,7.95,NA,NA
"58-014",17,"020","EAST","FLORENCE","036","DP 1553B2XF","1507","2",4.42,0.85,1.2,86.3,5.4,30.3,8.7,73.85,7.55,NA,NA
"58-009",17,"020","EAST","FLORENCE","036","DP 1538B2XF","1510","1",4.63,0.86,1.14,84.3,5.5,30.55,8.4,75.15,7.4,NA,NA
"58-010",17,"020","EAST","FLORENCE","036","DP 1538B2XF","1510","2",4.34,0.85,1.12,86.1,5.4,28.8,8.6,74.75,7.6,NA,NA
"58-003",17,"020","EAST","FLORENCE","036","DP 1646B2XF*","1516","1",4.44,0.85,1.23,84.8,5.9,32,8.7,74.7,6.95,76.6258787643484,7.37567204301075
"58-004",17,"020","EAST","FLORENCE","036","DP 1646B2XF*","1516","2",4.26,0.85,1.23,85.8,5.7,29.5,8,75.05,6.9,66.6668938805364,14.0221402214022
"58-005",17,"020","EAST","FLORENCE","036","NG 4545B2XF*","1535","1",4.63,0.87,1.1,84.8,6.3,30.75,6.7,73.4,7.6,79.8119216322349,12.5820016820858
"58-006",17,"020","EAST","FLORENCE","036","NG 4545B2XF*","1535","2",4.77,0.87,1.14,84.5,6,34.3,6.5,70.5,7.8,99.7856359095511,14.3459915611814
"58-007",17,"020","EAST","FLORENCE","036","PHY 764WRF*","1536","1",4.21,0.85,1.16,86.4,5,35.35,8,70.65,7.85,92.182637704918,16.1799660441426
"58-008",17,"020","EAST","FLORENCE","036","PHY 764WRF*","1536","2",4.27,0.85,1.13,85.6,5.2,36.6,8.8,70.9,7.5,77.9585829838723,14.9764150943396
"58-011",17,"020","EAST","FLORENCE","036","DP 1522B2XF","1537","1",5.15,0.86,1.14,85.7,5.5,31.75,9.6,75.25,7.55,NA,NA
"58-012",17,"020","EAST","FLORENCE","036","DP 1522B2XF","1537","2",4.89,0.86,1.14,84.3,6.3,30.15,9,70.1,7.7,NA,NA
"58-017",17,"020","EAST","FLORENCE","036","PHY 330W3FE","1542","1",4.68,0.87,1.14,86.1,5.6,32.3,7.3,73.35,8.2,NA,NA
"58-018",17,"020","EAST","FLORENCE","036","PHY 330W3FE","1542","2",4.48,0.86,1.12,85.3,6.4,31.2,7.8,71.95,7.9,NA,NA
"61-001",17,"020","EAST","ROCKY MT","037","PHY 499WRF*","1404","1",5.01,0.86,1.09,84.7,6.6,30.4,9.6,76.9,7.45,81.3529674278039,8.33892617449664
"61-002",17,"020","EAST","ROCKY MT","037","PHY 499WRF*","1404","2",4.95,0.86,1.13,85.8,5.8,32.5,9.9,79.55,8.05,94.6414151644737,9.91482112436116
"61-015",17,"020","EAST","ROCKY MT","037","PHY 444WRF","1459","1",4.94,0.87,1.22,85.2,6.5,33.05,8,79.05,8.1,NA,NA
"61-016",17,"020","EAST","ROCKY MT","037","PHY 444WRF","1459","2",4.64,0.86,1.28,87.5,4.9,33.05,8.3,81.75,8.4,NA,NA
"61-019",17,"020","EAST","ROCKY MT","037","ST 4946GLB2","1468","1",5.49,0.88,1.13,85.1,6.8,31.6,9,79,7.5,NA,NA
"61-020",17,"020","EAST","ROCKY MT","037","ST 4946GLB2","1468","2",5.34,0.87,1.08,84.5,6.8,30.2,8.9,79.9,7.35,NA,NA
"61-013",17,"020","EAST","ROCKY MT","037","DP 1553B2XF","1507","1",5.17,0.87,1.14,84.5,7.2,29.05,9,79.05,8.6,NA,NA
"61-014",17,"020","EAST","ROCKY MT","037","DP 1553B2XF","1507","2",4.55,0.85,1.2,85,6.2,29.6,9.2,80.85,8.8,NA,NA
"61-009",17,"020","EAST","ROCKY MT","037","DP 1538B2XF","1510","1",5.26,0.86,1.14,85.4,5.6,28.85,9.4,80.65,8.45,NA,NA
"61-010",17,"020","EAST","ROCKY MT","037","DP 1538B2XF","1510","2",4.74,0.85,1.12,84.1,6.5,29.2,9.6,81.95,8.2,NA,NA
"61-003",17,"020","EAST","ROCKY MT","037","DP 1646B2XF*","1516","1",4.99,0.86,1.19,85,5.7,29.6,9.3,80.4,7.45,63.2467048290546,8.43091334894613
"61-004",17,"020","EAST","ROCKY MT","037","DP 1646B2XF*","1516","2",4.78,0.85,1.28,86.9,5.2,28.35,9.1,82.95,8.55,81.124717609535,5.22162525184688
"61-005",17,"020","EAST","ROCKY MT","037","NG 4545B2XF*","1535","1",5.44,0.88,1.06,83.7,7.2,30.15,7.4,77.8,7.9,81.8212432622864,7.34453781512605
"61-006",17,"020","EAST","ROCKY MT","037","NG 4545B2XF*","1535","2",5.17,0.87,1.13,84.2,6.3,31.45,7.8,78.65,7.15,102.677075686537,5.66870332654447
"61-007",17,"020","EAST","ROCKY MT","037","PHY 764WRF*","1536","1",4.47,0.85,1.12,84.7,6.5,34.75,9.4,78.3,7.6,93.4923786738166,9.12758446797781
"61-008",17,"020","EAST","ROCKY MT","037","PHY 764WRF*","1536","2",4.6,0.85,1.09,85.5,6,33.45,8.8,79.3,8.1,84.1993633366633,7.56077116512992
"61-011",17,"020","EAST","ROCKY MT","037","DP 1522B2XF","1537","1",5.46,0.86,1.11,85.1,6,29.1,10.8,79.2,7.6,NA,NA
"61-012",17,"020","EAST","ROCKY MT","037","DP 1522B2XF","1537","2",5.19,0.86,1.15,83.6,6.1,30.95,10.4,80.3,8.05,NA,NA
"61-017",17,"020","EAST","ROCKY MT","037","PHY 330W3FE","1542","1",5.08,0.87,1.1,84.2,7.5,29.35,7.8,78.6,7.8,NA,NA
"61-018",17,"020","EAST","ROCKY MT","037","PHY 330W3FE","1542","2",4.94,0.86,1.12,84.4,6.9,32.25,8.8,79.15,8.4,NA,NA
"12-001",17,"020","EAST","STARKVILLE","067","PHY 499WRF*","1404","1",3.97,0.84,1.16,85.1,7.4,32.05,8.6,75.3,7.25,NA,NA
"12-002",17,"020","EAST","STARKVILLE","067","PHY 499WRF*","1404","2",4.51,0.86,1.14,85.6,7.5,29.75,8,77.5,7.15,NA,NA
