"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","elg_star","ui_spin","str_spin","rd_spin","b_spin","mic_spin"
89,12,"PLA",38,"Chickasha, OK(dry)",477,2,"157",1.21,0.63,52.3,"261",7.8,4.1,6.4,84.8,34.3,76.7,7.8,4.1
89,12,"PLA",38,"Chickasha, OK(dry)",571,1,"129",1.12,0.57,50.5,"208",9.3,3.6,6.3,85.6,27.1,79.7,7.8,3.5
89,12,"PLA",38,"Chickasha, OK(dry)",571,2,"135",1.08,0.54,50.3,"190",9.5,3.5,6.3,83.8,28.6,79.8,7.8,3.4
89,12,"PLA",38,"Chickasha, OK(dry)",576,1,"124",1.11,0.56,50.7,"193",8.3,3.8,6.4,84.5,29.2,76.4,8.2,3.9
89,12,"PLA",38,"Chickasha, OK(dry)",576,2,"121",1.12,0.56,49.8,"187",9,4.2,6.7,85.2,27.5,78.7,8.2,4
89,12,"PLA",38,"Chickasha, OK(dry)",577,1,"130",1.12,0.57,50.5,"178",9,4.2,6.7,84.7,25.6,77.6,7.9,4.1
89,12,"PLA",38,"Chickasha, OK(dry)",577,2,"125",1.14,0.57,50.3,"184",8.5,3.6,6.2,82.5,25,74.3,7.7,3.9
89,12,"PLA",38,"Chickasha, OK(dry)",578,1,"132",1.1,0.57,51.4,"203",9.8,4.1,6.9,85.2,30.5,76.6,8.1,4.1
89,12,"PLA",38,"Chickasha, OK(dry)",578,2,"136",1.1,0.59,53.6,"225",10.3,4.5,6.8,83.9,30.6,74.4,8.1,4.5
89,12,"PLA",38,"Chickasha, OK(dry)",635,1,"124",1.04,0.54,51.7,"214",8.5,4.6,6.2,81.9,25.9,75,7.7,4.5
89,12,"PLA",38,"Chickasha, OK(dry)",635,2,"130",1.04,0.55,52.7,"225",8.5,4.8,6.4,83.6,26.7,72.9,7.4,4.8
89,12,"PLA",38,"Chickasha, OK(dry)",689,1,"128",1.15,0.58,50,"208",9,4.3,6.7,85.7,28,76,8.6,4.4
89,12,"PLA",38,"Chickasha, OK(dry)",689,2,"134",1.2,0.62,51.5,"210",8.8,4.5,6.6,86.9,28.8,77.1,8,4.3
89,12,"PLA",38,"Chickasha, OK(dry)",693,1,"142",1.06,0.55,51.9,"232",7.5,4.4,6.3,84.1,29.4,76.4,9,4.6
89,12,"PLA",38,"Chickasha, OK(dry)",693,2,"136",1.06,0.56,52.6,"239",8.5,4.7,6.2,85.2,30.6,75,8.1,4.5
89,12,"PLA",38,"Chickasha, OK(dry)",748,1,"130",1.15,0.57,49.1,"214",7.3,4.4,6.1,83.6,25.8,73.2,7.9,4.7
89,12,"PLA",38,"Chickasha, OK(dry)",748,2,"134",1.15,0.57,49.8,"215",7.8,4.4,6.1,85,28.5,75.4,7.8,4.3
89,12,"PLA",41,"Chickasha, OK(irri)",400,1,"125",1.11,0.56,50.7,"189",8.5,4.1,6.2,85.3,29,75.4,8.3,3.7
89,12,"PLA",41,"Chickasha, OK(irri)",400,2,"130",1.12,0.57,50.7,"178",8.3,4,6.3,83.9,26.4,76.9,8.4,4
89,12,"PLA",41,"Chickasha, OK(irri)",409,1,"133",1.09,0.57,52.3,"226",7.5,4.4,6.3,84.9,27.6,78.2,8.6,4.5
89,12,"PLA",41,"Chickasha, OK(irri)",409,2,"129",1.1,0.57,51.9,"213",7.3,4.5,6.4,85,28.2,73.5,9.7,4.3
89,12,"PLA",41,"Chickasha, OK(irri)",477,1,"156",1.15,0.61,53.3,"274",8,3.6,6.4,85.6,33,76.8,8.7,3.7
89,12,"PLA",41,"Chickasha, OK(irri)",477,2,"156",1.16,0.61,52.8,"257",8.8,3.6,6.2,85.1,32.9,74.1,8.8,3.5
89,12,"PLA",41,"Chickasha, OK(irri)",571,1,"131",1.09,0.55,50.5,"213",9,3.8,6.2,84.5,26.9,80.2,8.3,3.4
89,12,"PLA",41,"Chickasha, OK(irri)",571,2,"135",1.11,0.57,50.9,"214",9.5,3.1,6.4,85.1,28.7,81.2,7.8,3
89,12,"PLA",41,"Chickasha, OK(irri)",576,1,"121",1.11,0.55,49.8,"188",9,4.3,6.5,84.8,26.5,76.6,8.7,4.1
89,12,"PLA",41,"Chickasha, OK(irri)",576,2,"119",1.12,0.56,49.8,"191",9,3.7,6.5,83.1,25.6,76.7,8.6,3.6
89,12,"PLA",41,"Chickasha, OK(irri)",577,1,"131",1.1,0.57,51.4,"185",8,4.1,6.2,83.8,23.9,78.9,8,4.2
89,12,"PLA",41,"Chickasha, OK(irri)",577,2,"128",1.1,0.56,50.5,"192",9.3,3.2,6.5,83,26.2,76.2,8,3.1
89,12,"PLA",41,"Chickasha, OK(irri)",578,1,"135",1.08,0.57,52.4,"227",9.3,4.6,7.1,86.2,29.5,77.7,8.4,4.4
89,12,"PLA",41,"Chickasha, OK(irri)",578,2,"136",1.06,0.57,53.6,"211",9.8,4.2,7.1,85,29.9,77.1,9.4,4.1
89,12,"PLA",41,"Chickasha, OK(irri)",635,1,"136",1.06,0.55,51.4,"216",8.8,4.4,6.7,84,27.2,78.4,7.8,4.3
89,12,"PLA",41,"Chickasha, OK(irri)",635,2,"133",1.06,0.55,52.1,"216",9.5,3.8,6.4,84,28.4,77.4,8,3.9
89,12,"PLA",41,"Chickasha, OK(irri)",689,1,"133",1.17,0.61,52.1,"204",9.5,4.1,6.8,84.5,27.5,78.2,8,4
89,12,"PLA",41,"Chickasha, OK(irri)",689,2,"132",1.17,0.6,51.3,"199",9.3,4.2,6.6,85.4,27.6,75.8,9.3,4
89,12,"PLA",41,"Chickasha, OK(irri)",693,1,"128",1.03,0.56,54.4,"217",8.8,4.3,6.4,84,30.8,77.7,8.7,4.4
89,12,"PLA",41,"Chickasha, OK(irri)",693,2,"132",1.03,0.54,52.5,"217",7.8,3.9,6.3,84.5,28.9,77.3,8.9,4.2
89,12,"PLA",41,"Chickasha, OK(irri)",748,1,"138",1.21,0.62,51.5,"225",7.8,4,6.2,85.9,30,77.3,7.8,3.9
89,12,"PLA",41,"Chickasha, OK(irri)",748,2,"148",1.2,0.62,51.5,"221",8,4,6.2,85.1,27.6,77.5,8.3,4.3
89,20,"EAS",30,"Jackson, TN",450,1,"133",1.16,0.6,51.8,"187",6,4,5.5,86.3,27.7,77.7,9.4,4.2
89,20,"EAS",30,"Jackson, TN",450,2,"139",1.14,0.59,52,"199",6.8,4.2,6,86.7,30.6,78.3,9.5,4.2
89,20,"EAS",30,"Jackson, TN",473,1,"122",1.18,0.6,50.7,"178",8.5,3.9,6.8,87,26.3,79.4,9.4,4
89,20,"EAS",30,"Jackson, TN",473,2,"126",1.15,0.58,50.5,"185",8.5,4,6.9,85.3,25.1,78.4,9.5,3.8
89,20,"EAS",30,"Jackson, TN",477,1,"144",1.18,0.61,51.9,"235",7,4,5.9,87,33.5,75.8,8.8,3.8
89,20,"EAS",30,"Jackson, TN",477,2,"151",1.19,0.61,51.3,"249",7,3.9,6,87,31.2,76.5,9,3.9
89,20,"EAS",30,"Jackson, TN",513,1,"127",1.17,0.6,51.3,"193",7,4.1,6.1,87.9,27,78.1,9.4,4.2
89,20,"EAS",30,"Jackson, TN",513,2,"118",1.15,0.54,46.8,"196",7,4.3,5.9,85.4,25.2,75.5,9.5,4.6
89,20,"EAS",30,"Jackson, TN",521,1,"122",1.19,0.58,48.6,"187",7.5,4,6.2,86.2,27.7,78.2,9.6,3.8
89,20,"EAS",30,"Jackson, TN",521,2,"110",1.11,0.53,48,"187",7.5,4.3,6.3,86.3,25.4,78.3,9.7,3.9
89,20,"EAS",30,"Jackson, TN",570,1,"126",1.2,0.61,51.1,"226",6,4.2,5.6,85.7,26.7,77,9.3,4.2
89,20,"EAS",30,"Jackson, TN",570,2,"129",1.2,0.59,49.4,"206",6.5,4.1,6.1,87.4,26.9,77.1,9.5,4.2
89,20,"EAS",30,"Jackson, TN",574,1,"134",1.15,0.57,49.1,"206",7.5,4.2,5.9,87.3,25.5,78.6,9.4,4.1
89,20,"EAS",30,"Jackson, TN",574,2,"128",1.13,0.58,51.1,"211",6.8,4.4,6.1,85.2,25.2,76.2,9.3,4.8
89,20,"EAS",30,"Jackson, TN",575,1,"124",1.17,0.61,52,"184",7,4.6,6.2,87.9,24,78.5,9.6,4.9
89,20,"EAS",30,"Jackson, TN",575,2,"117",1.16,0.59,50.5,"186",7.5,4.8,5.9,84.6,21,78.2,9.8,4.9
89,20,"EAS",30,"Jackson, TN",611,1,"112",1.15,0.57,49.4,"186",7.5,4.2,6.2,85.4,26.8,78.3,9.5,4.1
89,20,"EAS",30,"Jackson, TN",611,2,"113",1.15,0.57,49.6,"185",7.3,4.3,6,84.9,23.2,76.7,9.8,4.2
89,20,"EAS",30,"Jackson, TN",635,1,"112",1.07,0.55,51.4,"219",7,4.4,6.3,85,24,77.3,9.4,4.2
89,20,"EAS",30,"Jackson, TN",635,2,"117",1.11,0.58,52.5,"199",7,4.2,5.7,84.7,23.2,76.7,9.4,4.1
89,20,"EAS",30,"Jackson, TN",649,1,"135",1.2,0.62,51.5,"218",6.5,4.4,6.3,82.3,26.3,75.5,9.5,4.6
89,20,"EAS",30,"Jackson, TN",649,2,"133",1.17,0.57,48.5,"215",6.5,4.4,5.9,85.8,26.7,77.5,9.5,4.9
89,20,"EAS",30,"Jackson, TN",654,1,"137",1.18,0.57,48.5,"215",6.5,4.2,5.6,86.7,27.6,76.5,9.6,4.2
89,20,"EAS",30,"Jackson, TN",654,2,"135",1.16,0.56,48.5,"222",6,4.6,6.3,87.5,31.6,77,9.3,4.6
89,20,"EAS",30,"Jackson, TN",670,1,"126",1.19,0.6,50.2,"189",6.3,4.7,6.1,85.5,25.9,77.2,9.4,4.9
89,20,"EAS",30,"Jackson, TN",670,2,"122",1.19,0.59,49.8,"190",7.3,4.8,6.1,87.2,22.9,77.6,9.3,5.1
89,20,"EAS",30,"Jackson, TN",689,1,"129",1.19,0.58,49,"193",8.5,4.2,6.7,86.6,25.2,79.7,9.1,4.3
89,20,"EAS",30,"Jackson, TN",689,2,"123",1.18,0.59,49.6,"199",9,4.1,6.5,85,26.5,78.2,9.4,4.1
89,20,"EAS",30,"Jackson, TN",697,1,"106",1.14,0.56,48.7,"194",7.3,4.4,6.3,86.4,24.1,76.5,9.8,4.2
89,20,"EAS",30,"Jackson, TN",697,2,"118",1.15,0.57,49.8,"205",7.8,4.4,6.2,87,24.7,78.1,9.7,4.5
89,20,"EAS",30,"Jackson, TN",748,1,"105",1.2,0.61,50.8,"195",7,4.2,6,86.1,23.3,75.6,9.7,4.4
89,20,"EAS",30,"Jackson, TN",748,2,"108",1.18,0.54,46,"188",7,4.2,5.9,82.6,21.3,75.1,0,4.3
89,20,"EAS",30,"Jackson, TN",750,1,"129",1.17,0.61,51.7,"208",8,4.3,6.5,88,30.3,77.8,9.6,4.2
89,20,"EAS",30,"Jackson, TN",750,2,"120",1.16,0.59,50.7,"202",8.5,4.5,6.3,86.4,25.9,76.6,9.7,4.5
89,20,"EAS",33,"Auburn, AL",450,1,".",NA,NA,NA,".",NA,NA,NA,NA,NA,NA,NA,NA
89,20,"EAS",33,"Auburn, AL",450,2,".",NA,NA,NA,".",NA,NA,NA,NA,NA,NA,NA,NA
89,20,"EAS",33,"Auburn, AL",473,1,"107",1.1,0.56,50.7,"183",9,4.3,6.8,84.3,23.7,74.5,8.2,4.8
89,20,"EAS",33,"Auburn, AL",473,2,"115",1.1,0.58,52.5,"183",9,4.3,6.6,86.3,25.3,74,7.3,4.4
89,20,"EAS",33,"Auburn, AL",477,1,"150",1.16,0.58,49.6,"253",7.8,3.8,6.1,86.2,32,73.3,7.1,3.9
89,20,"EAS",33,"Auburn, AL",477,2,"154",1.14,0.58,51.1,"254",8.5,4.2,6.3,84,33.1,75.9,8,4.1
89,20,"EAS",33,"Auburn, AL",513,1,"115",1.1,0.52,47.5,"216",6.8,4.5,6.1,84,26.4,75.1,7.8,4.4
89,20,"EAS",33,"Auburn, AL",513,2,"118",1.09,0.53,48.4,"204",7.5,4.5,6.2,83.4,27.5,74,8.3,4.5
89,20,"EAS",33,"Auburn, AL",521,1,"114",1.09,0.53,48.8,"196",8.3,4.5,6.2,82.5,24.9,75.2,7.5,5.1
89,20,"EAS",33,"Auburn, AL",521,2,"119",1.09,0.53,48.6,"206",7.8,4.7,6.1,84,26.2,75.9,7.4,4.8
89,20,"EAS",33,"Auburn, AL",570,1,"120",1.13,0.55,48.7,"203",7.5,4.2,6,84,25.4,73,7.9,4.5
89,20,"EAS",33,"Auburn, AL",570,2,"126",1.14,0.55,48.5,"221",7,4.5,6.1,83.7,27.1,73.7,8.4,4.5
89,20,"EAS",33,"Auburn, AL",574,1,"110",1.09,0.53,48.7,"187",7.8,3.9,5.8,81.9,24.2,74.4,8.5,4.3
89,20,"EAS",33,"Auburn, AL",574,2,"111",1.09,0.52,47.7,"201",7.5,4.3,5.9,81.3,23.7,73.7,7.9,4.5
89,20,"EAS",33,"Auburn, AL",575,1,"99",1.06,0.51,48.4,"179",7,4.6,5.6,85.6,24.1,73.1,7.2,5
89,20,"EAS",33,"Auburn, AL",575,2,"107",1.09,0.55,50.7,"191",6.5,4.9,5.7,85,23.5,72.6,7.4,4.9
89,20,"EAS",33,"Auburn, AL",611,1,"115",1.12,0.54,48.4,"212",8,5,6.1,83.4,23.2,75.5,8.3,4.4
89,20,"EAS",33,"Auburn, AL",611,2,"104",1.1,0.54,49.3,"198",8,4.8,6.1,83.7,26.8,76.7,7.8,4.7
89,20,"EAS",33,"Auburn, AL",635,1,"105",1.01,0.51,50,"202",7.3,4.2,6,82.2,25.7,75.6,8.5,4.3
89,20,"EAS",33,"Auburn, AL",635,2,"119",1.06,0.55,51.7,"214",8,4.1,6.2,83.9,27,73.6,8.1,4.1
89,20,"EAS",33,"Auburn, AL",649,1,"122",1.1,0.56,51.2,"222",7.8,5.1,6.3,83.2,28.9,77.6,8.2,5.1
89,20,"EAS",33,"Auburn, AL",649,2,"116",1.08,0.53,49.3,"230",8.3,4.9,6.1,83.1,26.7,75.3,8.1,4.9
89,20,"EAS",33,"Auburn, AL",654,1,"143",1.1,0.53,48.4,"228",7.3,4.5,5.8,83.7,25.7,74.6,8.4,4.9
89,20,"EAS",33,"Auburn, AL",654,2,"144",1.09,0.53,48.2,"227",7,4.3,6,82.7,28.7,75.5,8.3,4.2
89,20,"EAS",33,"Auburn, AL",670,1,"104",1.11,0.57,51,"186",7.3,4.9,6.1,84.5,25,76.2,8.1,4.7
89,20,"EAS",33,"Auburn, AL",670,2,"101",1.09,0.53,48.4,"195",7,5.1,5.9,83.3,24.6,74.4,8.1,4.9
89,20,"EAS",33,"Auburn, AL",689,1,"115",1.06,0.52,48.6,"184",9,4.3,6.3,82.6,23.6,76.6,7.4,4.3
89,20,"EAS",33,"Auburn, AL",689,2,"116",1.12,0.56,49.8,"186",9,4.5,6.3,82.5,25.2,75.2,7.6,4.2
89,20,"EAS",33,"Auburn, AL",697,1,"103",1.09,0.54,49.1,"198",8.3,4.8,6.2,82.4,25.6,76.2,8.5,4.9
89,20,"EAS",33,"Auburn, AL",697,2,"103",1.08,0.52,47.9,"192",7.8,4.7,6.1,82.8,25.6,72.9,8.2,4.7
