"yr","regcode","reg","loccode","loc","vcode","rep","yt","x25sl","x50sl","ui","t1","e1","mic","uhm_mot","ui_mot","str_mot","rd_mot","b_mot","mic_mot"
82,12,"PLA",38,"Chickasha, OK(dry)",634,2,"148",1.1,0.54,48,"225",4.9,5.2,1.1,84,29,61,8.4,5.3
82,12,"PLA",38,"Chickasha, OK(dry)",566,1,"127",0.96,0.48,49,"187",5,5.5,0.94,81,21,68,9.8,5.7
82,12,"PLA",38,"Chickasha, OK(dry)",566,2,"127",0.96,0.47,48,"198",6.2,5,0.95,83,23,67.5,8.4,5.8
82,12,"PLA",38,"Chickasha, OK(dry)",400,1,"136",1.03,0.47,44,"176",4.7,5.2,1.03,82,22,66.5,9,5.4
82,12,"PLA",38,"Chickasha, OK(dry)",400,2,"122",0.97,0.47,47,"200",5.6,5.2,1.03,81,22,67.5,8.8,5.4
82,12,"PLA",38,"Chickasha, OK(dry)",499,1,"131",0.97,0.44,45,"187",4.7,6,0.92,82,19,68.5,8.2,5.7
82,12,"PLA",38,"Chickasha, OK(dry)",499,2,"121",0.94,0.47,49,"185",5.1,5.8,0.93,82,21,61.5,8,5.5
82,12,"PLA",38,"Chickasha, OK(dry)",635,1,"135",1,0.48,46,"188",5.1,5.5,0.99,82,22,68,9.6,5.1
82,12,"PLA",38,"Chickasha, OK(dry)",635,2,"129",1.01,0.47,45,"191",5,5.1,1,81,21,59,8.4,5.2
82,12,"PLA",38,"Chickasha, OK(dry)",568,1,"133",0.99,0.48,48,"191",5.3,5.1,0.95,80,19,67,8.2,5.4
82,12,"PLA",38,"Chickasha, OK(dry)",568,2,"136",1.01,0.5,49,"189",5.2,5.3,0.99,82,21,70.5,8.8,5.6
82,12,"PLA",38,"Chickasha, OK(dry)",636,1,"129",1,0.49,48,"190",5.4,5.2,0.99,82,19,69.5,9.2,5.2
82,12,"PLA",38,"Chickasha, OK(dry)",636,2,"134",1,0.48,47,"175",5,5,1.01,82,19,68.5,7.8,5.2
82,12,"PLA",38,"Chickasha, OK(dry)",567,1,"136",1.02,0.5,48,"195",6.3,5.7,1.02,82,21,72,9.6,6
82,12,"PLA",38,"Chickasha, OK(dry)",567,2,"126",0.96,0.5,50,"186",5.6,5.9,0.92,82,24,69,9,6
82,12,"PLA",38,"Chickasha, OK(dry)",152,1,"129",1.07,0.52,48,"182",7.4,4.7,1.02,83,22,72.5,8.8,4.6
82,12,"PLA",38,"Chickasha, OK(dry)",152,2,"135",1.05,0.53,49,"169",6.5,4.9,1.08,82,22,68.5,8,4.9
82,12,"PLA",38,"Chickasha, OK(dry)",571,1,"154",1.01,0.46,44,"201",4.8,4.9,1.01,83,20,72,9.4,4.6
82,12,"PLA",38,"Chickasha, OK(dry)",571,2,"157",1.05,0.5,47,"207",4.2,5,1.08,83,23,72,9.4,4.2
82,12,"PLA",38,"Chickasha, OK(dry)",572,1,"123",1.03,0.48,46,"193",6.6,5.4,1.09,83,24,72.5,9.2,5.5
82,12,"PLA",38,"Chickasha, OK(dry)",572,2,"139",1.03,0.5,47,"198",6,5.4,1.01,83,18,70.5,8.6,5.3
82,12,"PLA",38,"Chickasha, OK(dry)",573,1,"132",1,0.48,47,"196",5.4,4.7,0.99,83,21,68.5,8.6,5.3
82,12,"PLA",38,"Chickasha, OK(dry)",573,2,"151",0.99,0.49,48,"178",5.4,4.7,0.99,82,23,67,8.8,4.8
82,12,"PLA",16,"Altus, OK(irri)",498,1,"152",1.11,0.53,46,"199",5.6,4.7,1.13,83,26,73.5,9,4.4
82,12,"PLA",16,"Altus, OK(irri)",498,2,"143",1.06,0.54,50,"184",6.8,4.8,1.01,83,25,75,9,4.5
82,12,"PLA",16,"Altus, OK(irri)",532,1,"124",1.08,0.52,47,"211",6.2,4.5,1.09,84,23,69.5,9.2,4.6
82,12,"PLA",16,"Altus, OK(irri)",532,2,"133",1.05,0.49,46,"177",6.2,5,1.06,82,21,74.5,9.8,5.3
82,12,"PLA",16,"Altus, OK(irri)",574,1,"137",1.05,0.51,47,"200",5.6,5.2,1.11,84,23,74,8.2,4.7
82,12,"PLA",16,"Altus, OK(irri)",574,2,"142",1.12,0.52,46,"212",6.2,4.9,1.14,84,24,75,8.8,4.5
82,12,"PLA",16,"Altus, OK(irri)",80,1,"149",1.08,0.53,48,"215",5.7,4.6,1.05,84,22,77,9,4.6
82,12,"PLA",16,"Altus, OK(irri)",80,2,"138",1.11,0.54,47,"196",6.8,4.3,1.12,84,26,76,7.8,4.1
82,12,"PLA",16,"Altus, OK(irri)",402,1,"137",1.09,0.53,47,"204",6.1,4.6,1.13,84,21,70.5,9.4,4.6
82,12,"PLA",16,"Altus, OK(irri)",402,2,"127",1.05,0.53,49,"200",6.2,5,1.09,84,29,69,9,4.2
82,12,"PLA",16,"Altus, OK(irri)",683,1,"137",1.1,0.56,50,"195",6,4.7,1.1,84,26,75,8.2,4.3
82,12,"PLA",16,"Altus, OK(irri)",683,2,"142",1.13,0.56,48,"203",6.6,4,1.17,84,24,70.5,8.2,4.3
82,12,"PLA",16,"Altus, OK(irri)",634,1,"135",1.08,0.51,46,"215",5.4,4.3,1.11,84,23,72.5,8.6,4.4
82,12,"PLA",16,"Altus, OK(irri)",634,2,"141",1.12,0.55,48,"203",5.8,4.5,1.05,84,26,75,8.4,4
82,12,"PLA",16,"Altus, OK(irri)",566,1,"117",0.92,0.47,50,"172",6.4,5.5,0.87,82,22,75,8.4,5
82,12,"PLA",16,"Altus, OK(irri)",566,2,"152",1.08,0.55,49,"211",6,4.8,1.17,83,26,72.5,7.8,4.9
82,12,"PLA",16,"Altus, OK(irri)",400,1,"150",1.1,0.54,48,"227",5.3,4.1,1.13,85,27,71.5,9.4,4.3
82,12,"PLA",16,"Altus, OK(irri)",400,2,"146",1.01,0.48,46,"205",7,4.1,1.02,84,24,70,8.6,3.9
82,12,"PLA",16,"Altus, OK(irri)",499,1,"151",1.13,0.56,48,"212",6.6,4.8,1.19,85,28,75,8.8,4.6
82,12,"PLA",16,"Altus, OK(irri)",499,2,"145",1.11,0.55,48,"198",7,4.4,1.08,84,24,74.5,8.8,4.3
82,12,"PLA",16,"Altus, OK(irri)",635,1,"137",1.09,0.57,51,"206",8.1,4.7,1.14,86,23,76.5,8.4,4.6
82,12,"PLA",16,"Altus, OK(irri)",635,2,"170",1.1,0.56,50,"216",6.1,4.2,1.17,84,26,69.5,8.2,4
82,12,"PLA",16,"Altus, OK(irri)",568,1,"159",1.14,0.58,49,"216",6.9,4.4,1.05,83,27,69,8.6,4.3
82,12,"PLA",16,"Altus, OK(irri)",568,2,"146",1.08,0.54,48,"188",7.6,4.1,1.06,84,21,72.5,7.8,3.9
82,12,"PLA",16,"Altus, OK(irri)",636,1,"137",1.06,0.53,49,"197",6.7,4.7,1.02,84,21,75,8.2,4.9
82,12,"PLA",16,"Altus, OK(irri)",636,2,"146",1.1,0.53,46,"194",5.5,4.7,1.13,87,21,69.5,7.6,4.7
82,12,"PLA",16,"Altus, OK(irri)",567,1,"136",1.12,0.54,47,"190",6.9,4.8,1.12,83,24,71.5,8.6,4.5
82,12,"PLA",16,"Altus, OK(irri)",567,2,"139",1.11,0.54,47,"185",7.8,4.3,1.08,83,22,74.5,8.4,4.5
82,12,"PLA",16,"Altus, OK(irri)",152,1,"133",1.05,0.53,50,"199",6.4,5,1.07,84,22,68,7.4,4.9
